"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
18,1000,1000,0.1,3,random,mbkmeans,0.978348141249636,2052026.51273856
19,1000,1000,0.1,3,random,mbkmeans,0.993572372579254,1964873.75645556
20,1000,1000,0.1,3,random,mbkmeans,0.986765431648822,2116736.95276745
21,1000,1000,0.1,3,random,mbkmeans,0.994254516565756,2116438.21556825
22,1000,1000,0.1,3,random,mbkmeans,0.996606616725239,2111605.98265286
23,1000,1000,0.1,3,random,mbkmeans,0.996594793795514,2009749.47444736
24,1000,1000,0.1,3,random,mbkmeans,0.996586797033879,2031348.55731139
25,1000,1000,0.1,3,random,mbkmeans,0.986891779802738,1990162.04032314
26,1000,1000,0.1,3,random,mbkmeans,0.976866850319323,2132083.73281813
27,1000,1000,0.1,3,random,mbkmeans,0.984195398577911,2081868.47779485
28,1000,1000,0.1,3,random,mbkmeans,0.991078906089746,2090649.11507981
29,1000,1000,0.1,3,random,mbkmeans,0.983404855043595,2049897.05725906
30,1000,1000,0.1,3,random,mbkmeans,0.990271218722314,2021356.61792214
31,1000,1000,0.1,3,random,mbkmeans,0.977952156201658,2045952.72249527
32,1000,1000,0.1,3,random,mbkmeans,0.983896408512475,2039386.06192748
33,1000,1000,0.1,3,random,mbkmeans,0.99399610546391,2022943.3721177
34,1000,1000,0.1,3,random,mbkmeans,0.993605855918256,2051708.33541598
35,1000,1000,0.1,3,random,mbkmeans,0.993010791997392,2120450.23665258
36,1000,1000,0.1,3,random,mbkmeans,0.98102641052273,2037990.96044335
37,1000,1000,0.1,3,random,mbkmeans,0.993656261046662,2189323.34469133
38,1000,1000,0.1,3,random,mbkmeans,0.989707025397008,2142613.27601191
39,1000,1000,0.1,3,random,mbkmeans,0.986542641692869,2060922.1295609
40,1000,1000,0.1,3,random,mbkmeans,0.987226291538796,1964170.33464335
41,1000,1000,0.1,3,random,mbkmeans,0.99708037736134,2024635.68902271
42,1000,1000,0.1,3,random,mbkmeans,0.976867665901841,2214272.81380288
43,1000,1000,0.1,3,random,mbkmeans,0.99362778239626,2137773.13906564
44,1000,1000,0.1,3,random,mbkmeans,0.987272708570772,2044769.01725468
45,1000,1000,0.1,3,random,mbkmeans,0.986872978916548,2001825.100523
46,1000,1000,0.1,3,random,mbkmeans,0.983910532901498,1880285.28116008
47,1000,1000,0.1,3,random,mbkmeans,0.980259775989802,2046630.5501726
48,1000,1000,0.1,3,random,mbkmeans,0.984776740971868,2014465.91528954
49,1000,1000,0.1,3,random,mbkmeans,0.987655180454086,2133361.41869523
50,1000,1000,0.1,3,random,mbkmeans,0.99026432750439,2146272.20848906
51,1000,1000,0.1,3,random,mbkmeans,0.987305246371934,2121921.09829542
52,1000,1000,0.1,3,random,mbkmeans,0.991090069687199,2076197.51401142
53,1000,1000,0.1,3,random,mbkmeans,0.980945740817536,2147885.6685633
54,1000,1000,0.1,3,random,mbkmeans,0.976815100326931,1983786.5292906
55,1000,1000,0.1,3,random,mbkmeans,0.993198569764048,2174273.03572232
56,1000,1000,0.1,3,random,mbkmeans,0.994435977237906,2115418.23836782
