"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS","iterations","fault"
2,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.749860807211912,219963806.615028,33,NA
3,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.766118509595617,207388261.341733,19,NA
4,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.780402037782233,212314253.856042,22,NA
5,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.74545294060917,228238060.063631,40,NA
6,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.781288533589366,211879524.629934,22,NA
7,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.795640234266459,212597259.699874,19,NA
8,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.766980791303559,207207553.721667,17,NA
9,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.817579893244657,202275886.359827,28,NA
10,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.746947241844264,217120253.476056,37,NA
1,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.745007792923333,214126979.448888,39,NA
2,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.84568626038581,186686615.618998,28,NA
3,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.816189455420859,199055224.780982,31,NA
4,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.768038159274611,208543770.515461,13,NA
5,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.780565687149301,209800240.379389,13,NA
6,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.74059945412882,220149353.789833,26,NA
7,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.796805457685398,192234602.248088,29,NA
8,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.800405424530488,203532848.507638,23,NA
9,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.711520585452042,214890541.386983,29,NA
10,1e+05,1000,0.01,14,kmeans++,mbkmeans,0.805679966898583,197706447.029319,27,NA
1,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.725644425632877,209490792.904099,19,NA
2,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.845612203827965,175789066.078268,36,NA
3,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.835580857337157,181348324.891265,15,NA
4,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.846387174185864,179315435.902116,22,NA
5,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.778661019360614,190830988.09641,24,NA
6,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.75756722273801,204021550.417236,28,NA
7,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.773109790063315,190169085.002153,24,NA
8,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.776743840825602,186354216.788897,22,NA
9,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.832854712053208,184916328.312221,25,NA
10,1e+05,1000,0.01,15,kmeans++,mbkmeans,0.835596775590895,179672401.804376,30,NA
1,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.824881221679702,182066670.921083,30,NA
2,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.841597104640387,181176147.714209,18,NA
3,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.829542436802362,178989234.137223,26,NA
4,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.833052938972164,181213196.176702,18,NA
5,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.814627890665103,177636956.797332,18,NA
6,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.786043880348605,196246199.660326,14,NA
7,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.75688970104556,185888441.219361,43,NA
8,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.815396249246725,180389067.568227,16,NA
9,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.811569755167381,179227529.951306,21,NA
10,1e+05,1000,0.01,16,kmeans++,mbkmeans,0.762463066924854,184667127.042427,23,NA
1,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.814037836944037,171620976.900959,18,NA
2,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.76833383905802,180385882.343105,38,NA
3,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.823677074361408,174113713.680611,22,NA
4,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.76229059932159,176821895.094516,15,NA
5,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.819795004570381,180728087.390292,24,NA
6,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.810726195844359,171103262.692064,41,NA
7,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.796913279631481,174693758.933345,25,NA
8,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.807876258571003,175823836.303985,47,NA
9,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.801234555930484,174323311.01837,15,NA
10,1e+05,1000,0.01,17,kmeans++,mbkmeans,0.807017596326077,173774642.599063,23,NA
1,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.807304235769036,170816950.833957,23,NA
2,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.801374797679517,174605986.115012,26,NA
3,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.739132384339653,179429594.255652,16,NA
4,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.718381143479421,171405227.876498,15,NA
5,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.774069504667655,168513748.562792,15,NA
6,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.788285108826355,175106547.168864,31,NA
7,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.817654712090509,174889597.217957,52,NA
8,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.768369447081188,175212700.881759,13,NA
9,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.790577172601282,171268449.239821,33,NA
10,1e+05,1000,0.01,18,kmeans++,mbkmeans,0.802683689849856,173636316.721793,25,NA
1,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.78457151810072,167400058.903687,23,NA
2,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.771363231430333,177073979.80549,19,NA
3,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.794163446653146,170459841.328201,21,NA
4,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.727823989544712,177932388.72258,27,NA
5,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.778241822432735,174406206.139531,23,NA
6,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.768567307663391,170127398.898487,17,NA
7,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.783699389950733,172426780.081901,38,NA
8,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.793793137737636,177315237.488463,31,NA
9,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.777345228702176,167163489.870688,42,NA
10,1e+05,1000,0.01,19,kmeans++,mbkmeans,0.783389305855853,165687400.027029,25,NA
1,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.761267989519664,167831736.321801,34,NA
2,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.748056947121306,167100045.936669,48,NA
3,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.759448980050567,163050412.002868,30,NA
4,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.749197808244327,168033949.594744,17,NA
5,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.817981298805318,168210707.705437,48,NA
6,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.775977679649328,168265676.31189,23,NA
7,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.778522751413008,166071521.496343,31,NA
8,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.745137107607401,163925662.120595,21,NA
9,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.763444923264708,169568541.055725,29,NA
10,1e+05,1000,0.01,20,kmeans++,mbkmeans,0.758167816663134,165371683.676404,26,NA
1,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.0879195431554649,3618644992.2884,25,NA
2,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.0876269255277981,3534154631.23891,12,NA
3,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.0876310886242046,3311947828.23807,26,NA
4,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.0870747418341067,3737153718.79239,37,NA
5,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.0879043599342551,3501589518.53738,12,NA
6,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.0866299618384164,3580816578.04861,12,NA
7,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.0879016681857388,3645099725.03421,31,NA
8,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.088245099853407,3373695748.36279,16,NA
9,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.0876599063793732,3629104507.21668,26,NA
10,1e+05,1000,0.1,2,kmeans++,mbkmeans,0.0873283059730488,3547392107.99423,22,NA
1,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.224810864763632,1636997273.58693,19,NA
2,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.225076154983594,1613527716.08786,28,NA
3,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.224449263031917,1717848000.41572,16,NA
4,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.223978953278205,1625836259.96822,27,NA
5,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.223928456728947,1745657682.81234,47,NA
6,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.224106583240322,1706710230.13692,18,NA
7,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.224264150067341,1644164452.27514,25,NA
8,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.225117509473312,1619114561.68195,17,NA
9,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.22489722749603,1556758681.44921,14,NA
10,1e+05,1000,0.1,3,kmeans++,mbkmeans,0.225069265444644,1614827501.06847,21,NA
1,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.346843953633787,1104959685.78392,38,NA
2,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.345965142405858,1157823790.17005,18,NA
3,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.346078115950847,1174432752.42111,22,NA
4,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.346591471238872,1171398880.29979,23,NA
5,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.347387336182347,1086216907.57728,33,NA
6,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.346959386698688,1195743598.56394,14,NA
7,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.343725081654059,1230655444.30805,21,NA
8,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.345595857073303,1107094183.07716,14,NA
9,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.346387180024456,1117153953.49577,34,NA
10,1e+05,1000,0.1,4,kmeans++,mbkmeans,0.344404062775158,1093398729.2042,15,NA
1,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.412915185059001,755788890.691828,27,NA
2,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.416954962162604,762291927.023299,21,NA
3,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.418583271771117,751053258.343075,37,NA
4,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.420310685387589,732626593.147798,34,NA
5,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.420066840303054,745295470.031437,27,NA
6,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.421055648169306,712018330.456299,31,NA
7,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.421881092384044,701765741.466205,21,NA
8,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.421048688717291,710567822.855456,29,NA
9,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.420467077023279,723839186.198294,22,NA
10,1e+05,1000,0.1,5,kmeans++,mbkmeans,0.420174329903432,753996371.067456,27,NA
1,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.502278058106365,572902309.396683,39,NA
2,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.460988142777302,573658858.656828,17,NA
3,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.463433330292916,549050940.684809,19,NA
4,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.461844679215441,555562140.028751,18,NA
5,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.464340622872556,541828568.666339,18,NA
6,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.46312554397863,555409797.032812,25,NA
7,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.463897746088517,565461890.112359,21,NA
8,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.462738814170264,548122688.950062,16,NA
9,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.464365633287878,547191011.738853,33,NA
10,1e+05,1000,0.1,6,kmeans++,mbkmeans,0.462337905278191,560794566.487103,19,NA
1,1e+05,1000,0.1,7,kmeans++,mbkmeans,0.50335388571566,528991750.465888,20,NA
2,1e+05,1000,0.1,7,kmeans++,mbkmeans,0.556048420889822,392863354.222146,17,NA
3,1e+05,1000,0.1,7,kmeans++,mbkmeans,0.557049522056256,423971213.38167,22,NA
4,1e+05,1000,0.1,7,kmeans++,mbkmeans,0.556553975368853,396366588.921856,28,NA
5,1e+05,1000,0.1,7,kmeans++,mbkmeans,0.555511107154191,400165456.629889,37,NA
6,1e+05,1000,0.1,7,kmeans++,mbkmeans,0.555482760741161,401770693.790196,15,NA
7,1e+05,1000,0.1,7,kmeans++,mbkmeans,0.556143076282546,408767198.014779,17,NA
