B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
10,1.00E+05,1000,75,11,kmeans++,hdf5,0.740425096,269244183.8,31,NA
1,1.00E+05,1000,75,12,kmeans++,hdf5,0.696969809,293762299.9,40,NA
2,1.00E+05,1000,75,12,kmeans++,hdf5,0.648229667,297709321,25,NA
3,1.00E+05,1000,75,12,kmeans++,hdf5,0.767196263,257178767.4,13,NA
4,1.00E+05,1000,75,12,kmeans++,hdf5,0.738797415,281486747.7,15,NA
5,1.00E+05,1000,75,12,kmeans++,hdf5,0.714601117,264768583.7,18,NA
6,1.00E+05,1000,75,12,kmeans++,hdf5,0.76587272,283087532,17,NA
7,1.00E+05,1000,75,12,kmeans++,hdf5,0.780404448,252450482.3,33,NA
8,1.00E+05,1000,75,12,kmeans++,hdf5,0.762183887,269748620.9,16,NA
9,1.00E+05,1000,75,12,kmeans++,hdf5,0.695372803,290288742.8,41,NA
10,1.00E+05,1000,75,12,kmeans++,hdf5,0.775052635,232437817.1,24,NA
1,1.00E+05,1000,75,13,kmeans++,hdf5,0.74647553,266704010.6,16,NA
2,1.00E+05,1000,75,13,kmeans++,hdf5,0.775974465,255097314.7,18,NA
3,1.00E+05,1000,75,13,kmeans++,hdf5,0.740732722,249310382.3,20,NA
4,1.00E+05,1000,75,13,kmeans++,hdf5,0.695610081,246053722,20,NA
5,1.00E+05,1000,75,13,kmeans++,hdf5,0.694935551,291278884.2,25,NA
6,1.00E+05,1000,75,13,kmeans++,hdf5,0.754473675,253268955.4,17,NA
7,1.00E+05,1000,75,13,kmeans++,hdf5,0.77817529,246509130.6,22,NA
8,1.00E+05,1000,75,13,kmeans++,hdf5,0.760600949,253275006.5,19,NA
9,1.00E+05,1000,75,13,kmeans++,hdf5,0.698406274,265686931.7,14,NA
10,1.00E+05,1000,75,13,kmeans++,hdf5,0.806729646,217559435.4,17,NA
1,1.00E+05,1000,75,14,kmeans++,hdf5,0.755492954,273675004.3,22,NA
2,1.00E+05,1000,75,14,kmeans++,hdf5,0.722298628,256429949.1,42,NA
3,1.00E+05,1000,75,14,kmeans++,hdf5,0.758705506,278023882.5,22,NA
4,1.00E+05,1000,75,14,kmeans++,hdf5,0.814660206,234017024.8,26,NA
5,1.00E+05,1000,75,14,kmeans++,hdf5,0.706733552,253977405.6,36,NA
6,1.00E+05,1000,75,14,kmeans++,hdf5,0.776037593,239854387.5,19,NA
7,1.00E+05,1000,75,14,kmeans++,hdf5,0.747519557,252989059.9,29,NA
8,1.00E+05,1000,75,14,kmeans++,hdf5,0.787663235,240717203.6,16,NA
9,1.00E+05,1000,75,14,kmeans++,hdf5,0.751990672,244100108.9,20,NA
10,1.00E+05,1000,75,14,kmeans++,hdf5,0.802139241,237740140.8,49,NA
1,1.00E+05,1000,75,15,kmeans++,hdf5,0.809409846,227020309,35,NA
2,1.00E+05,1000,75,15,kmeans++,hdf5,0.828886466,213411776.8,20,NA
3,1.00E+05,1000,75,15,kmeans++,hdf5,0.815109537,226420358.8,27,NA
4,1.00E+05,1000,75,15,kmeans++,hdf5,0.770222677,224704490.7,15,NA
5,1.00E+05,1000,75,15,kmeans++,hdf5,0.788086179,218188938.2,33,NA
6,1.00E+05,1000,75,15,kmeans++,hdf5,0.821271343,219721143.7,30,NA
7,1.00E+05,1000,75,15,kmeans++,hdf5,0.834960472,219618826,21,NA
8,1.00E+05,1000,75,15,kmeans++,hdf5,0.773618519,214840107.7,20,NA
9,1.00E+05,1000,75,15,kmeans++,hdf5,0.828554881,218270445,24,NA
10,1.00E+05,1000,75,15,kmeans++,hdf5,0.821322181,218346243.8,53,NA
1,1.00E+05,1000,75,16,kmeans++,hdf5,0.821664931,215889075,17,NA
2,1.00E+05,1000,75,16,kmeans++,hdf5,0.776900347,213238409.3,23,NA
3,1.00E+05,1000,75,16,kmeans++,hdf5,0.777106334,226346483.4,19,NA
4,1.00E+05,1000,75,16,kmeans++,hdf5,0.784625386,221215765.4,25,NA
5,1.00E+05,1000,75,16,kmeans++,hdf5,0.809246519,211598409.2,18,NA
6,1.00E+05,1000,75,16,kmeans++,hdf5,0.744411048,243699972.2,41,NA
7,1.00E+05,1000,75,16,kmeans++,hdf5,0.677692337,263340463.4,24,NA
8,1.00E+05,1000,75,16,kmeans++,hdf5,0.821132213,208290885.2,20,NA
9,1.00E+05,1000,75,16,kmeans++,hdf5,0.760724999,230197220.9,27,NA
10,1.00E+05,1000,75,16,kmeans++,hdf5,0.815602091,222953654.3,26,NA
1,1.00E+05,1000,75,17,kmeans++,hdf5,0.772307957,242724363.9,29,NA
2,1.00E+05,1000,75,17,kmeans++,hdf5,0.812613599,228535301.8,36,NA
