B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
7,25000,1000,500,8,kmeans++,mbkmeans,0.583303091,84420155.86,18,NA
8,25000,1000,500,8,kmeans++,mbkmeans,0.57922458,95805669.43,19,NA
9,25000,1000,500,8,kmeans++,mbkmeans,0.612699969,96005545.38,24,NA
10,25000,1000,500,8,kmeans++,mbkmeans,0.584604383,89282895.38,44,NA
1,25000,1000,500,9,kmeans++,mbkmeans,0.612882687,77459516.09,20,NA
2,25000,1000,500,9,kmeans++,mbkmeans,0.63223654,79222940.19,17,NA
3,25000,1000,500,9,kmeans++,mbkmeans,0.612303233,76323499.3,17,NA
4,25000,1000,500,9,kmeans++,mbkmeans,0.647390645,76474574.51,26,NA
5,25000,1000,500,9,kmeans++,mbkmeans,0.642572144,76515049.97,31,NA
6,25000,1000,500,9,kmeans++,mbkmeans,0.612779176,79853437.99,16,NA
7,25000,1000,500,9,kmeans++,mbkmeans,0.639807215,77135133.63,24,NA
8,25000,1000,500,9,kmeans++,mbkmeans,0.62805139,76588363.15,17,NA
9,25000,1000,500,9,kmeans++,mbkmeans,0.596637075,82980343.48,15,NA
10,25000,1000,500,9,kmeans++,mbkmeans,0.632504389,76386254.1,16,NA
1,25000,1000,500,10,kmeans++,mbkmeans,0.677451157,70452613.08,18,NA
2,25000,1000,500,10,kmeans++,mbkmeans,0.677337238,71077802.7,16,NA
3,25000,1000,500,10,kmeans++,mbkmeans,0.672022945,68671174,23,NA
4,25000,1000,500,10,kmeans++,mbkmeans,0.705320922,67515312.76,16,NA
5,25000,1000,500,10,kmeans++,mbkmeans,0.675517015,69741463.29,32,NA
6,25000,1000,500,10,kmeans++,mbkmeans,0.643524424,68215613.03,24,NA
7,25000,1000,500,10,kmeans++,mbkmeans,0.650459071,74920348.29,24,NA
8,25000,1000,500,10,kmeans++,mbkmeans,0.698689866,66574079.61,37,NA
9,25000,1000,500,10,kmeans++,mbkmeans,0.676392086,68678176.37,22,NA
10,25000,1000,500,10,kmeans++,mbkmeans,0.664976719,68852358.25,20,NA
1,25000,1000,500,11,kmeans++,mbkmeans,0.694008615,69154449.84,21,NA
2,25000,1000,500,11,kmeans++,mbkmeans,0.700191868,66164444.97,28,NA
3,25000,1000,500,11,kmeans++,mbkmeans,0.746491111,58027896.91,22,NA
4,25000,1000,500,11,kmeans++,mbkmeans,0.738615869,60544806.47,26,NA
5,25000,1000,500,11,kmeans++,mbkmeans,0.681900978,63542924.77,41,NA
6,25000,1000,500,11,kmeans++,mbkmeans,0.695714065,64686451.67,23,NA
7,25000,1000,500,11,kmeans++,mbkmeans,0.693227311,63813590.8,19,NA
8,25000,1000,500,11,kmeans++,mbkmeans,0.710821625,63239759.07,26,NA
9,25000,1000,500,11,kmeans++,mbkmeans,0.696803969,63967880.54,18,NA
10,25000,1000,500,11,kmeans++,mbkmeans,0.745761367,61096234.05,26,NA
1,25000,1000,500,12,kmeans++,mbkmeans,0.76865763,56636617.75,24,NA
2,25000,1000,500,12,kmeans++,mbkmeans,0.737188768,62914974.87,20,NA
3,25000,1000,500,12,kmeans++,mbkmeans,0.773697357,58196604.82,28,NA
4,25000,1000,500,12,kmeans++,mbkmeans,0.768503753,55324915.88,17,NA
5,25000,1000,500,12,kmeans++,mbkmeans,0.706454735,62544958.43,15,NA
6,25000,1000,500,12,kmeans++,mbkmeans,0.762676729,56654127.5,18,NA
7,25000,1000,500,12,kmeans++,mbkmeans,0.700044378,60777618.39,13,NA
8,25000,1000,500,12,kmeans++,mbkmeans,0.766204641,60804478,20,NA
9,25000,1000,500,12,kmeans++,mbkmeans,0.777295909,54023826.11,25,NA
10,25000,1000,500,12,kmeans++,mbkmeans,0.707377385,60102759.52,23,NA
1,25000,1000,500,13,kmeans++,mbkmeans,0.820906748,48728733.95,25,NA
2,25000,1000,500,13,kmeans++,mbkmeans,0.706307955,57427213.07,50,NA
3,25000,1000,500,13,kmeans++,mbkmeans,0.813999621,50718749.71,47,NA
4,25000,1000,500,13,kmeans++,mbkmeans,0.707849958,55790336,17,NA
5,25000,1000,500,13,kmeans++,mbkmeans,0.76076392,52270648.29,25,NA
6,25000,1000,500,13,kmeans++,mbkmeans,0.768867179,57197230.58,26,NA
7,25000,1000,500,13,kmeans++,mbkmeans,0.757510352,57492614.06,14,NA
8,25000,1000,500,13,kmeans++,mbkmeans,0.819836406,51561313.01,13,NA
9,25000,1000,500,13,kmeans++,mbkmeans,0.749903274,57248510.01,19,NA
10,25000,1000,500,13,kmeans++,mbkmeans,0.809767263,47994060.38,32,NA
1,25000,1000,500,14,kmeans++,mbkmeans,0.744330788,52990310.16,38,NA
2,25000,1000,500,14,kmeans++,mbkmeans,0.69938416,56291936.82,27,NA
3,25000,1000,500,14,kmeans++,mbkmeans,0.810215965,51129347.74,19,NA
4,25000,1000,500,14,kmeans++,mbkmeans,0.758465325,51353076.96,24,NA
5,25000,1000,500,14,kmeans++,mbkmeans,0.793126134,47553693.23,16,NA
6,25000,1000,500,14,kmeans++,mbkmeans,0.806509548,51771237.9,18,NA
7,25000,1000,500,14,kmeans++,mbkmeans,0.702954099,56239378.36,48,NA
8,25000,1000,500,14,kmeans++,mbkmeans,0.801755626,48538497.2,20,NA
9,25000,1000,500,14,kmeans++,mbkmeans,0.789052884,49471300.84,14,NA
10,25000,1000,500,14,kmeans++,mbkmeans,0.788945167,52145673.48,18,NA
1,25000,1000,500,15,kmeans++,mbkmeans,0.792587416,47051288.85,30,NA
2,25000,1000,500,15,kmeans++,mbkmeans,0.835889385,46106050.26,37,NA
3,25000,1000,500,15,kmeans++,mbkmeans,0.840939736,44757322.68,26,NA
4,25000,1000,500,15,kmeans++,mbkmeans,0.826768595,46330336.43,43,NA
5,25000,1000,500,15,kmeans++,mbkmeans,0.786974885,49358056.51,18,NA
6,25000,1000,500,15,kmeans++,mbkmeans,0.839499081,46238188.06,16,NA
7,25000,1000,500,15,kmeans++,mbkmeans,0.744207834,54996763.7,19,NA
8,25000,1000,500,15,kmeans++,mbkmeans,0.790596025,50533828.01,17,NA
9,25000,1000,500,15,kmeans++,mbkmeans,0.830247347,45941799.51,29,NA
10,25000,1000,500,15,kmeans++,mbkmeans,0.782970705,49799580.51,20,NA
1,25000,1000,500,16,kmeans++,mbkmeans,0.828217857,45542213.46,26,NA
