observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,label2
500000,5000,0.01,5000,1636.255377,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.015,7500,1636.255377,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.02,10000,1636.255377,worst,1,500000,Labels,Worst-HDF5
75000,5000,0.001,75,2924.985454,best,5000,1,Whole,Best-HDF5
75000,5000,0.002,150,2905.451358,best,5000,1,Whole,Best-HDF5
75000,5000,0.006666667,500,2915.32677,best,5000,1,Whole,Best-HDF5
75000,5000,0.01,750,2982.000881,best,5000,1,Whole,Best-HDF5
75000,5000,0.01333333,1000,2958.109791,best,5000,1,Whole,Best-HDF5
75000,5000,0.02,1500,2961.546764,best,5000,1,Whole,Best-HDF5
75000,5000,0.04,3000,2910.913654,best,5000,1,Whole,Best-HDF5
75000,5000,0.06666667,5000,2938.196758,best,5000,1,Whole,Best-HDF5
75000,5000,0.1,7500,2897.561542,best,5000,1,Whole,Best-HDF5
75000,5000,0.13333333,10000,3070.260983,best,5000,1,Whole,Best-HDF5
500000,5000,0.00015,75,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,3.00E-04,150,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,6.00E-04,300,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,0.001,500,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,0.002,1000,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,0.003,1500,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,0.006,3000,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,0.01,5000,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,0.015,7500,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,0.02,10000,17265.37876,best,5000,1,Whole,Best-HDF5
75000,5000,0.001,75,4518.649042,best,5000,1,Whole,mbkmeans
75000,5000,0.002,150,4620.951578,best,5000,1,Whole,mbkmeans
75000,5000,0.006666667,500,4606.992045,best,5000,1,Whole,mbkmeans
75000,5000,0.01,750,4593.61513,best,5000,1,Whole,mbkmeans
75000,5000,0.01333333,1000,4592.03969,best,5000,1,Whole,mbkmeans
75000,5000,0.02,1500,4575.711748,best,5000,1,Whole,mbkmeans
75000,5000,0.04,3000,4570.65645,best,5000,1,Whole,mbkmeans
75000,5000,0.06666667,5000,4574.608164,best,5000,1,Whole,mbkmeans
75000,5000,0.1,7500,4619.210825,best,5000,1,Whole,mbkmeans
75000,5000,0.13333333,10000,4570.755877,best,5000,1,Whole,mbkmeans
500000,5000,0.00015,75,28175.47077,best,5000,1,Whole,mbkmeans
500000,5000,3.00E-04,150,28261.10339,best,5000,1,Whole,mbkmeans
500000,5000,6.00E-04,300,28165.71717,best,5000,1,Whole,mbkmeans
500000,5000,0.001,500,28184.91111,best,5000,1,Whole,mbkmeans
500000,5000,0.002,1000,28203.67233,best,5000,1,Whole,mbkmeans
500000,5000,0.003,1500,28165.77455,best,5000,1,Whole,mbkmeans
500000,5000,0.006,3000,28168.69147,best,5000,1,Whole,mbkmeans
500000,5000,0.01,5000,28184.18527,best,5000,1,Whole,mbkmeans
500000,5000,0.015,7500,28172.20123,best,5000,1,Whole,mbkmeans
500000,5000,0.02,10000,28512.69035,best,5000,1,Whole,mbkmeans
75000,5000,0.001,75,3061.658901,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.002,150,2970.016697,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.006666667,500,2967.528034,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.01,750,2962.52306,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.01333333,1000,2970.331379,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.02,1500,2961.146923,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.04,3000,2960.833439,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.06666667,5000,2937.640911,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.1,7500,2962.522953,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.13333333,10000,3069.888119,worst,1,75000,Whole,Worst-HDF5
500000,5000,0.00015,75,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,3.00E-04,150,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,6.00E-04,300,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.001,500,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.002,1000,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.003,1500,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.006,3000,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.01,5000,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.015,7500,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.02,10000,17265.37882,worst,1,500000,Whole,Worst-HDF5
