observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,,,,,,,,
500000,5000,6.00E-04,300,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,0.001,500,28250.14114,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,0.001,500,23422.76131,worst,1,500000,FALSE,mbkmeans,,,,,,,
500000,5000,6.00E-04,300,1866.513175,worst,1,500000,TRUE,,,,,,,,
500000,5000,0.001,500,17265.37882,worst,1,500000,full,,,,,,,,
500000,5000,0.001,500,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,0.002,1000,28211.29229,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,0.001,500,17265.37889,worst,1,500000,FALSE,,,,,,,,
500000,5000,0.002,1000,24273.312,worst,1,500000,FALSE,mbkmeans,,,,,,,
500000,5000,0.001,500,1866.513175,worst,1,500000,TRUE,,,,,,,,
500000,5000,0.002,1000,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,0.003,1500,28212.0415,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,0.003,1500,27406.72776,worst,1,500000,FALSE,mbkmeans,,,,,,,
500000,5000,0.002,1000,17265.37882,worst,1,500000,full,,,,,,,,
500000,5000,0.002,1000,17265.37889,worst,1,500000,FALSE,,,,,,,,
500000,5000,0.003,1500,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,0.002,1000,1866.513175,worst,1,500000,TRUE,,,,,,,,
500000,5000,0.006,3000,28166.78363,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,0.006,3000,28145.33466,worst,1,500000,FALSE,mbkmeans,,,,,,,
500000,5000,0.003,1500,17265.37882,worst,1,500000,full,,,,,,,,
500000,5000,0.003,1500,17265.37889,worst,1,500000,FALSE,,,,,,,,
500000,5000,0.006,3000,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,0.01,5000,28165.71723,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,0.01,5000,28109.31062,worst,1,500000,FALSE,mbkmeans,,,,,,,
500000,5000,0.003,1500,1866.513175,worst,1,500000,TRUE,,,,,,,,
500000,5000,0.006,3000,17265.37882,worst,1,500000,full,,,,,,,,
500000,5000,0.01,5000,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,0.006,3000,17265.37889,worst,1,500000,FALSE,,,,,,,,
500000,5000,0.015,7500,28168.51939,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,0.015,7500,28091.29861,worst,1,500000,FALSE,mbkmeans,,,,,,,
500000,5000,0.006,3000,1866.513175,worst,1,500000,TRUE,,,,,,,,
500000,5000,0.015,7500,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,0.02,10000,28512.69089,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,0.01,5000,17265.37882,worst,1,500000,full,,,,,,,,
500000,5000,0.02,10000,28367.99562,worst,1,500000,FALSE,mbkmeans,,,,,,,
500000,5000,0.01,5000,17265.37889,worst,1,500000,FALSE,,,,,,,,
500000,5000,0.02,10000,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,0.01,5000,1866.513175,worst,1,500000,TRUE,,,,,,,,
500000,5000,0.015,7500,17265.37882,worst,1,500000,full,,,,,,,,
500000,5000,0.015,7500,17265.37889,worst,1,500000,FALSE,,,,,,,,
500000,5000,0.015,7500,1866.513175,worst,1,500000,TRUE,,,,,,,,
500000,5000,0.02,10000,17265.37882,worst,1,500000,full,,,,,,,,
500000,5000,0.02,10000,17265.37889,worst,1,500000,FALSE,,,,,,,,
500000,5000,0.02,10000,1866.513175,worst,1,500000,TRUE,,,,,,,,
end…,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
