observations,genes,batch size,abs batch size,time1,time2,time3,geometry,dimension_1,dimension_2,choice,label2
500000,5000,6.00E-04,300,7.444,750.342,1072.64,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.001,500,7.719,1243.681,1276.623,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.002,1000,6.533,1182.266,1154.252,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.003,1500,6.713,1548.369,1178.282,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.006,3000,8.383,1160.515,1065.661,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.01,5000,5.987,1132.757,1060.963,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.015,7500,7.534,1132.186,1118.471,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.02,10000,6.686,1361.749,1162.214,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.00015,75,6.129,323.177,833.511,best,5000,1,two steps,Best-HDF5
500000,5000,3.00E-04,150,6.187,362.479,646.792,best,5000,1,two steps,Best-HDF5
500000,5000,6.00E-04,300,5.955,280.798,627.024,best,5000,1,two steps,Best-HDF5
500000,5000,0.001,500,6.036,300.41,621.585,best,5000,1,two steps,Best-HDF5
500000,5000,0.002,1000,5.871,318.846,615.349,best,5000,1,two steps,Best-HDF5
500000,5000,0.003,1500,6.44,893.236,709.145,best,5000,1,two steps,Best-HDF5
500000,5000,0.006,3000,7.426,568.019,767.332,best,5000,1,two steps,Best-HDF5
500000,5000,0.01,5000,6.256,758.478,754.841,best,5000,1,two steps,Best-HDF5
500000,5000,0.015,7500,6.484,715.166,720.998,best,5000,1,two steps,Best-HDF5
500000,5000,0.02,10000,8.357,731.285,709.787,best,5000,1,two steps,Best-HDF5
