B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
8,1.00E+05,1000,0.001,16,kmeans++,hdf5,57.09,5.452,63.479,10,1
9,1.00E+05,1000,0.001,16,kmeans++,hdf5,55.688,4.666,60.995,10,1
10,1.00E+05,1000,0.001,16,kmeans++,hdf5,60.255,5.196,65.538,10,1
1,1.00E+05,1000,0.001,17,kmeans++,hdf5,55.949,4.411,61.728,10,1
2,1.00E+05,1000,0.001,17,kmeans++,hdf5,47.045,3.313,50.976,10,1
3,1.00E+05,1000,0.001,17,kmeans++,hdf5,52.44,4.013,57.532,10,1
4,1.00E+05,1000,0.001,17,kmeans++,hdf5,62.954,5.062,68.04,10,1
5,1.00E+05,1000,0.001,17,kmeans++,hdf5,57.06,5.781,64.339,10,1
6,1.00E+05,1000,0.001,17,kmeans++,hdf5,53.505,3.925,58.394,10,1
7,1.00E+05,1000,0.001,17,kmeans++,hdf5,50.753,3.963,55.655,10,1
8,1.00E+05,1000,0.001,17,kmeans++,hdf5,57.821,4.57,63.024,10,1
9,1.00E+05,1000,0.001,17,kmeans++,hdf5,63.036,4.708,68.501,10,1
10,1.00E+05,1000,0.001,17,kmeans++,hdf5,59.634,4.463,64.299,10,1
1,1.00E+05,1000,0.001,18,kmeans++,hdf5,50.629,4.57,55.866,10,1
2,1.00E+05,1000,0.001,18,kmeans++,hdf5,53.891,3.479,58.071,10,1
3,1.00E+05,1000,0.001,18,kmeans++,hdf5,46.628,3.763,50.976,10,1
4,1.00E+05,1000,0.001,18,kmeans++,hdf5,48.904,3.481,53.315,10,1
5,1.00E+05,1000,0.001,18,kmeans++,hdf5,50.617,3.425,55.223,10,1
6,1.00E+05,1000,0.001,18,kmeans++,hdf5,54.793,3.919,59.395,10,1
7,1.00E+05,1000,0.001,18,kmeans++,hdf5,43.773,3.232,47.482,10,1
8,1.00E+05,1000,0.001,18,kmeans++,hdf5,46.034,3.645,50.013,10,1
9,1.00E+05,1000,0.001,18,kmeans++,hdf5,53.262,3.583,57.198,10,1
10,1.00E+05,1000,0.001,18,kmeans++,hdf5,53.625,3.805,57.48,10,1
1,1.00E+05,1000,0.001,19,kmeans++,hdf5,53.023,3.959,57.898,10,1
2,1.00E+05,1000,0.001,19,kmeans++,hdf5,53.323,4.618,59.529,10,1
3,1.00E+05,1000,0.001,19,kmeans++,hdf5,51.83,4.055,56.767,10,1
4,1.00E+05,1000,0.001,19,kmeans++,hdf5,64.667,5.803,70.634,10,1
5,1.00E+05,1000,0.001,19,kmeans++,hdf5,60.25,4.608,65.974,10,1
6,1.00E+05,1000,0.001,19,kmeans++,hdf5,54.217,3.834,59.053,10,1
7,1.00E+05,1000,0.001,19,kmeans++,hdf5,63.204,4.468,67.712,10,1
8,1.00E+05,1000,0.001,19,kmeans++,hdf5,60.371,5.577,66.783,10,1
9,1.00E+05,1000,0.001,19,kmeans++,hdf5,57.358,3.346,61.06,10,1
10,1.00E+05,1000,0.001,19,kmeans++,hdf5,57.351,4.913,63.116,10,1
1,1.00E+05,1000,0.001,20,kmeans++,hdf5,73.633,4.581,78.24,10,1
2,1.00E+05,1000,0.001,20,kmeans++,hdf5,50.013,5.001,55.033,10,1
3,1.00E+05,1000,0.001,20,kmeans++,hdf5,49.136,4.593,53.747,10,1
4,1.00E+05,1000,0.001,20,kmeans++,hdf5,62.217,6.101,68.374,10,1
5,1.00E+05,1000,0.001,20,kmeans++,hdf5,67.545,5.752,73.32,10,1
6,1.00E+05,1000,0.001,20,kmeans++,hdf5,49.685,4.116,53.819,10,1
7,1.00E+05,1000,0.001,20,kmeans++,hdf5,53.164,5.611,58.796,10,1
8,1.00E+05,1000,0.001,20,kmeans++,hdf5,62.325,5.816,68.164,10,1
