B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
5,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,30.447,1.09,43.53,1,1
6,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,30.833,0.996,39.514,1,1
7,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,30.996,1.113,43.714,1,1
8,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,30.638,0.993,46.287,1,1
9,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,30.879,1.034,41.053,1,1
10,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,30.293,0.991,38.812,1,1
1,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,33.188,1.366,55.457,1,1
2,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,32.066,1.07,48.899,1,1
3,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,32.448,1.113,40.366,1,1
4,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,32.19,1.156,57.301,1,1
5,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,31.812,1.104,45.484,1,1
6,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,32.153,1.082,41.369,1,1
7,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,31.881,1.231,51.112,1,1
8,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,32.088,1.073,45.844,1,1
9,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,32.398,1.347,56.989,1,1
10,1.00E+05,1000,0.001,17,kmeans++,mbkmeans,31.484,1.07,40.572,1,1
1,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,32.11,1.314,45.279,1,1
2,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,33.828,1.333,43.743,1,1
3,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,31.957,1.125,44.481,1,1
4,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,32.317,1.095,41.478,1,1
5,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,33.016,1.088,43.97,1,1
6,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,32.554,1.1,46.685,1,1
7,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,32.321,1.257,41.787,1,1
8,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,30.58,1.067,36.965,1,1
9,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,32.662,1.019,41.263,1,1
10,1.00E+05,1000,0.001,18,kmeans++,mbkmeans,32.428,1.106,45.851,1,1
1,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,31.496,1.043,38.444,1,1
2,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,31.326,1.125,43.995,1,1
3,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,31.041,1.066,34.678,1,1
4,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,30.824,1.17,45.734,1,1
5,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,31.412,1.102,34.005,1,1
6,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,31.704,1.166,45.271,1,1
7,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,32.39,1.12,44.207,1,1
8,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,32.642,1.183,50.494,1,1
9,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,31.398,1.002,38.866,1,1
10,1.00E+05,1000,0.001,19,kmeans++,mbkmeans,31.12,1.176,46.049,1,1
1,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,32.202,1.012,39.149,1,1
2,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,32.338,1.04,46.246,1,1
3,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,32.236,1.031,40.973,1,1
4,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,31.133,1.003,38.31,1,1
5,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,33.237,0.999,46.535,1,1
6,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,31.773,1.092,40.249,1,1
7,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,32.952,1.119,42.817,1,1
8,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,32.691,1.071,42.023,1,1
9,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,31.827,0.978,43.446,1,1
