B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
8,1.00E+05,1000,0.01,12,random,kmeans,290.759,9.004,321.645,10,1
9,1.00E+05,1000,0.01,12,random,kmeans,276.744,8.969,305.842,10,1
10,1.00E+05,1000,0.01,12,random,kmeans,276.317,8.578,308.861,10,1
1,1.00E+05,1000,0.01,13,random,kmeans,245.273,8.985,298.157,10,1
2,1.00E+05,1000,0.01,13,random,kmeans,256.315,8.693,299.552,10,1
3,1.00E+05,1000,0.01,13,random,kmeans,287.598,7.349,367.867,10,1
4,1.00E+05,1000,0.01,13,random,kmeans,288.072,9.733,337.642,10,1
5,1.00E+05,1000,0.01,13,random,kmeans,281.735,9.083,325.467,10,1
6,1.00E+05,1000,0.01,13,random,kmeans,273.298,7.61,317.577,10,1
7,1.00E+05,1000,0.01,13,random,kmeans,294.389,8.869,353.248,10,1
8,1.00E+05,1000,0.01,13,random,kmeans,258.585,9.317,300.744,10,1
9,1.00E+05,1000,0.01,13,random,kmeans,294.794,8.18,359.8,10,1
10,1.00E+05,1000,0.01,13,random,kmeans,268.436,8.767,328.9,10,1
1,1.00E+05,1000,0.01,14,random,kmeans,251.184,6.846,306.16,10,1
2,1.00E+05,1000,0.01,14,random,kmeans,251.83,7.962,288.026,10,1
3,1.00E+05,1000,0.01,14,random,kmeans,252.586,6.598,325.135,10,1
4,1.00E+05,1000,0.01,14,random,kmeans,279.096,7.082,327.28,10,1
5,1.00E+05,1000,0.01,14,random,kmeans,263.666,7.315,321.065,10,1
6,1.00E+05,1000,0.01,14,random,kmeans,266.804,7.122,328.428,10,1
7,1.00E+05,1000,0.01,14,random,kmeans,242.075,7.275,301.052,10,1
8,1.00E+05,1000,0.01,14,random,kmeans,240.913,6.602,290.439,10,1
9,1.00E+05,1000,0.01,14,random,kmeans,267.731,7.678,321.044,10,1
10,1.00E+05,1000,0.01,14,random,kmeans,247.948,6.824,297.175,10,1
1,1.00E+05,1000,0.01,15,random,kmeans,263.678,5.686,279.632,10,1
2,1.00E+05,1000,0.01,15,random,kmeans,251.447,6.729,288.019,10,1
3,1.00E+05,1000,0.01,15,random,kmeans,255.018,5.985,289.573,10,1
4,1.00E+05,1000,0.01,15,random,kmeans,233.019,6.787,260.543,10,1
