B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
28,500,1000,75,3,kmeans++,kmeans,1,967143.9601,2,0
29,500,1000,75,3,kmeans++,kmeans,0.980343406,948820.0241,2,0
30,500,1000,75,3,kmeans++,kmeans,0.974524988,964726.3866,2,0
31,500,1000,75,3,kmeans++,kmeans,0.987323184,1005576.19,3,0
32,500,1000,75,3,kmeans++,kmeans,0.993136282,972791.8067,2,0
33,500,1000,75,3,kmeans++,kmeans,0.987244258,962886.353,2,0
34,500,1000,75,3,kmeans++,kmeans,0.993338802,965681.6068,2,0
35,500,1000,75,3,kmeans++,kmeans,1,924686.6702,2,0
36,500,1000,75,3,kmeans++,kmeans,0.9940764,1012491.423,1,0
37,500,1000,75,3,kmeans++,kmeans,0.993923025,950700.5013,2,0
38,500,1000,75,3,kmeans++,kmeans,0.981607711,983156.0407,2,0
39,500,1000,75,3,kmeans++,kmeans,0.993103297,986653.797,2,0
40,500,1000,75,3,kmeans++,kmeans,0.981297862,1014485.319,2,0
41,500,1000,75,3,kmeans++,kmeans,1,1051675.925,2,0
42,500,1000,75,3,kmeans++,kmeans,0.993028341,1060866.988,2,0
43,500,1000,75,3,kmeans++,kmeans,0.974642777,1059087.735,2,0
44,500,1000,75,3,kmeans++,kmeans,0.987231605,956444.1707,2,0
45,500,1000,75,3,kmeans++,kmeans,0.987385498,1026805.475,2,0
46,500,1000,75,3,kmeans++,kmeans,0.987480663,1069857.374,2,0
47,500,1000,75,3,kmeans++,kmeans,0.987244258,1008769.892,2,0
48,500,1000,75,3,kmeans++,kmeans,1,994353.2506,2,0
49,500,1000,75,3,kmeans++,kmeans,1,990926.7087,2,0
50,500,1000,75,3,kmeans++,kmeans,0.993288437,949871.7523,2,0
1,500,1000,150,3,kmeans++,kmeans,0.994185704,981987.4157,2,0
2,500,1000,150,3,kmeans++,kmeans,0.974060004,968046.0282,3,0
3,500,1000,150,3,kmeans++,kmeans,0.98134602,939786.7209,2,0
4,500,1000,150,3,kmeans++,kmeans,0.993241099,1005251.989,2,0
5,500,1000,150,3,kmeans++,kmeans,0.987291618,937819.7491,2,0
6,500,1000,150,3,kmeans++,kmeans,1,950939.9727,1,0
7,500,1000,150,3,kmeans++,kmeans,0.973550828,1016545.628,2,0
