B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
6,2000,1000,35,3,random,kmeans,0.986339384,4094009.455,2,0
7,2000,1000,35,3,random,kmeans,0.994893336,4107902.449,3,0
8,2000,1000,35,3,random,kmeans,0.994879402,4027351.489,2,0
9,2000,1000,35,3,random,kmeans,0.990251908,4021714.507,2,0
10,2000,1000,35,3,random,kmeans,0.986668362,4054029.005,2,0
11,2000,1000,35,3,random,kmeans,0.996821159,4033539.96,2,0
12,2000,1000,35,3,random,kmeans,0.992167029,4038639.461,2,0
13,2000,1000,35,3,random,kmeans,0.994965292,4100904.017,3,0
14,2000,1000,35,3,random,kmeans,0.994070756,3909161.658,3,0
15,2000,1000,35,3,random,kmeans,0.985821817,4054798.092,2,0
16,2000,1000,35,3,random,kmeans,0.992595872,3924790.853,2,0
17,2000,1000,35,3,random,kmeans,0.993461339,4097943.457,2,0
18,2000,1000,35,3,random,kmeans,0.987269796,3876550.631,3,0
19,2000,1000,35,3,random,kmeans,0.979288076,3990892.039,3,0
20,2000,1000,35,3,random,kmeans,0.98768783,3916313.919,2,0
1,2000,1000,75,3,random,kmeans,0.984804266,4020737.133,2,0
2,2000,1000,75,3,random,kmeans,0.990254449,4004128.185,2,0
3,2000,1000,75,3,random,kmeans,0.988541235,4314414.543,2,0
4,2000,1000,75,3,random,kmeans,0.975914003,4116263.371,2,0
5,2000,1000,75,3,random,kmeans,0.978917925,3963584.38,3,0
6,2000,1000,75,3,random,kmeans,0.996817127,3827127.479,2,0
7,2000,1000,75,3,random,kmeans,0.992316683,4024771.854,2,0
8,2000,1000,75,3,random,kmeans,0.987259634,4120390.52,2,0
9,2000,1000,75,3,random,kmeans,0.990254995,3882829.977,2,0
10,2000,1000,75,3,random,kmeans,0.993952312,3868685.841,3,0
11,2000,1000,75,3,random,kmeans,0.986127007,4016605.064,2,0
12,2000,1000,75,3,random,kmeans,0.990669555,3803814.37,2,0
13,2000,1000,75,3,random,kmeans,0.990245972,3928141.546,3,0
14,2000,1000,75,3,random,kmeans,0.995579448,4051691.251,2,0
15,2000,1000,75,3,random,kmeans,0.991701517,3887474.639,2,0
16,2000,1000,75,3,random,kmeans,0.993655886,4101816.303,2,0
17,2000,1000,75,3,random,kmeans,0.989982314,4049538.698,2,0
18,2000,1000,75,3,random,kmeans,0.995350295,4073894.94,2,0
19,2000,1000,75,3,random,kmeans,0.983480681,4116477.781,3,0
20,2000,1000,75,3,random,kmeans,0.990254464,4007188.956,2,0
1,2000,1000,150,3,random,kmeans,0.983933715,4012341.328,2,0
2,2000,1000,150,3,random,kmeans,0.998291421,3827303.088,3,0
3,2000,1000,150,3,random,kmeans,0.98689602,4217377.246,2,0
4,2000,1000,150,3,random,kmeans,0.988410631,3975048.351,2,0
5,2000,1000,150,3,random,kmeans,0.989051685,4190081.751,3,0
6,2000,1000,150,3,random,kmeans,0.988776679,4070353.325,2,0
7,2000,1000,150,3,random,kmeans,0.988981917,3953688.104,2,0
8,2000,1000,150,3,random,kmeans,0.992565997,4074037.473,2,0
9,2000,1000,150,3,random,kmeans,0.991952715,3909301.954,2,0
10,2000,1000,150,3,random,kmeans,0.987121103,4128999.928,2,0
11,2000,1000,150,3,random,kmeans,0.991760312,3983066.651,2,0
12,2000,1000,150,3,random,kmeans,0.992293682,4006532.943,2,0
13,2000,1000,150,3,random,kmeans,0.991513215,3938044.508,2,0
14,2000,1000,150,3,random,kmeans,0.989162013,4024486.461,2,0
15,2000,1000,150,3,random,kmeans,0.99147797,3973955.335,2,0
16,2000,1000,150,3,random,kmeans,0.990441405,3959457.079,2,0
17,2000,1000,150,3,random,kmeans,0.990242697,3998843.235,2,0
18,2000,1000,150,3,random,kmeans,0.993455159,4082172.872,2,0
19,2000,1000,150,3,random,kmeans,0.988588597,4082527.031,2,0
20,2000,1000,150,3,random,kmeans,0.983040102,3992780.692,2,0
1,2000,1000,500,3,random,kmeans,0.990477896,3855482.822,2,0
2,2000,1000,500,3,random,kmeans,0.97752225,4017580.573,2,0
3,2000,1000,500,3,random,kmeans,0.99193321,3939901.362,2,0
4,2000,1000,500,3,random,kmeans,0.994134397,4245807.198,2,0
5,2000,1000,500,3,random,kmeans,0.985713098,4126889.96,2,0
6,2000,1000,500,3,random,kmeans,0.988762639,3890370.426,3,0
7,2000,1000,500,3,random,kmeans,0.985382415,3993611.06,2,0
8,2000,1000,500,3,random,kmeans,0.984999174,3876984.364,2,0
9,2000,1000,500,3,random,kmeans,0.990447642,4088375.638,2,0
10,2000,1000,500,3,random,kmeans,0.985824752,4021678.659,2,0
11,2000,1000,500,3,random,kmeans,0.988244734,3907141.706,2,0
12,2000,1000,500,3,random,kmeans,0.98305164,4145220.622,2,0
13,2000,1000,500,3,random,kmeans,0.991941529,4048438.139,2,0
14,2000,1000,500,3,random,kmeans,0.990272184,3985972.839,2,0
