B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
4,500,1000,500,3,kmeans++,hdf5,0.994202452,1025211.67,4,NA
5,500,1000,500,3,kmeans++,hdf5,0.987210662,1014340.995,4,NA
6,500,1000,500,3,kmeans++,hdf5,0.994134803,957322.2087,4,NA
7,500,1000,500,3,kmeans++,hdf5,0.974718105,1012305.953,4,NA
8,500,1000,500,3,kmeans++,hdf5,1,1030695.254,3,NA
9,500,1000,500,3,kmeans++,hdf5,0.993298093,1036337.358,3,NA
10,500,1000,500,3,kmeans++,hdf5,0.986429676,966035.2054,5,NA
11,500,1000,500,3,kmeans++,hdf5,1,956325.0255,3,NA
12,500,1000,500,3,kmeans++,hdf5,0.973936935,1003092.536,4,NA
13,500,1000,500,3,kmeans++,hdf5,0.987235797,1035109.171,3,NA
14,500,1000,500,3,kmeans++,hdf5,0.993097509,976149.3237,3,NA
15,500,1000,500,3,kmeans++,hdf5,0.987899132,1010536.12,5,NA
16,500,1000,500,3,kmeans++,hdf5,0.973764837,937760.3155,4,NA
17,500,1000,500,3,kmeans++,hdf5,0.981832245,925094.8234,4,NA
18,500,1000,500,3,kmeans++,hdf5,1,1008818.887,6,NA
19,500,1000,500,3,kmeans++,hdf5,1,946238.0126,3,NA
20,500,1000,500,3,kmeans++,hdf5,0.980991383,953049.2907,4,NA
21,500,1000,500,3,kmeans++,hdf5,0.993135319,1046155.632,3,NA
22,500,1000,500,3,kmeans++,hdf5,0.986113364,1016688.343,4,NA
23,500,1000,500,3,kmeans++,hdf5,1,973100.3024,4,NA
24,500,1000,500,3,kmeans++,hdf5,0.986407072,992862.381,4,NA
25,500,1000,500,3,kmeans++,hdf5,0.993181543,906970.8239,3,NA
26,500,1000,500,3,kmeans++,hdf5,0.986448577,1019025.496,3,NA
27,500,1000,500,3,kmeans++,hdf5,0.981816898,968923.9491,3,NA
28,500,1000,500,3,kmeans++,hdf5,0.987502096,930774.6981,5,NA
29,500,1000,500,3,kmeans++,hdf5,0.974704225,1055949.785,3,NA
30,500,1000,500,3,kmeans++,hdf5,0.9862811,1046539.441,3,NA
31,500,1000,500,3,kmeans++,hdf5,0.987329185,978842.2896,4,NA
32,500,1000,500,3,kmeans++,hdf5,0.993136059,930927.0766,3,NA
33,500,1000,500,3,kmeans++,hdf5,0.993226788,925513.0106,4,NA
34,500,1000,500,3,kmeans++,hdf5,0.988337272,1054978.975,4,NA
35,500,1000,500,3,kmeans++,hdf5,0.960527756,1023642.007,5,NA
36,500,1000,500,3,kmeans++,hdf5,0.987373071,1078360.23,4,NA
37,500,1000,500,3,kmeans++,hdf5,0.953685757,1032857.511,3,NA
38,500,1000,500,3,kmeans++,hdf5,0.98089892,943176.6113,3,NA
39,500,1000,500,3,kmeans++,hdf5,0.994065407,1051906.553,4,NA
40,500,1000,500,3,kmeans++,hdf5,1,929461.6282,3,NA
41,500,1000,500,3,kmeans++,hdf5,0.986397686,1025878.137,4,NA
42,500,1000,500,3,kmeans++,hdf5,0.987250014,1028261.618,4,NA
43,500,1000,500,3,kmeans++,hdf5,0.987324134,1020376.382,5,NA
44,500,1000,500,3,kmeans++,hdf5,1,1076037.763,3,NA
45,500,1000,500,3,kmeans++,hdf5,0.967033524,1003395.067,5,NA
46,500,1000,500,3,kmeans++,hdf5,0.993038535,1092689.059,3,NA
47,500,1000,500,3,kmeans++,hdf5,0.994128798,1018160.207,6,NA
48,500,1000,500,3,kmeans++,hdf5,0.966940462,1005287.294,4,NA
49,500,1000,500,3,kmeans++,hdf5,0.99427326,1051636.643,4,NA
50,500,1000,500,3,kmeans++,hdf5,0.987283379,992300.0577,3,NA
1,2000,1000,10,3,kmeans++,hdf5,0.977639319,5220949.642,24,NA
2,2000,1000,10,3,kmeans++,hdf5,0.993602766,6898457.35,13,NA
3,2000,1000,10,3,kmeans++,hdf5,0.994070626,4884783.935,24,NA
4,2000,1000,10,3,kmeans++,hdf5,0.981924577,6282493.103,22,NA
5,2000,1000,10,3,kmeans++,hdf5,0.98369361,5057078.551,17,NA
6,2000,1000,10,3,kmeans++,hdf5,0.976449611,5924526.759,19,NA
7,2000,1000,10,3,kmeans++,hdf5,0.996378314,7265207.548,28,NA
8,2000,1000,10,3,kmeans++,hdf5,0.983356882,4830723.406,19,NA
9,2000,1000,10,3,kmeans++,hdf5,0.9737846,5474173.852,15,NA
10,2000,1000,10,3,kmeans++,hdf5,0.993195984,4849118.992,20,NA
11,2000,1000,10,3,kmeans++,hdf5,0.995307497,6883861.012,29,NA
12,2000,1000,10,3,kmeans++,hdf5,0.992258898,4867582.367,12,NA
13,2000,1000,10,3,kmeans++,hdf5,0.991132432,5470975.271,14,NA
14,2000,1000,10,3,kmeans++,hdf5,0.983904315,5021285.609,38,NA
15,2000,1000,10,3,kmeans++,hdf5,0.953320765,5364684.467,14,NA
16,2000,1000,10,3,kmeans++,hdf5,0.977302838,5901658.664,18,NA
17,2000,1000,10,3,kmeans++,hdf5,0.996814042,5401042.887,16,NA
18,2000,1000,10,3,kmeans++,hdf5,0.976600001,5736853.4,22,NA
19,2000,1000,10,3,kmeans++,hdf5,0.965568425,6545669.017,15,NA
20,2000,1000,10,3,kmeans++,hdf5,0.988385117,4908941.032,11,NA
21,2000,1000,10,3,kmeans++,hdf5,0.974761351,6268669.102,12,NA
22,2000,1000,10,3,kmeans++,hdf5,0.989084779,6117240.174,12,NA
23,2000,1000,10,3,kmeans++,hdf5,0.984710719,5117069.664,29,NA
24,2000,1000,10,3,kmeans++,hdf5,0.988303048,5129402.146,31,NA
25,2000,1000,10,3,kmeans++,hdf5,0.977600549,5953063.714,18,NA
26,2000,1000,10,3,kmeans++,hdf5,0.9887626,4834198.485,24,NA
27,2000,1000,10,3,kmeans++,hdf5,0.948248531,7122385.281,14,NA
28,2000,1000,10,3,kmeans++,hdf5,0.982585731,4748141.816,13,NA
29,2000,1000,10,3,kmeans++,hdf5,0.98900899,5296874.26,15,NA
30,2000,1000,10,3,kmeans++,hdf5,0.995506657,7619703.993,25,NA
31,2000,1000,10,3,kmeans++,hdf5,0.983485097,6162813.171,15,NA
32,2000,1000,10,3,kmeans++,hdf5,0.987055675,6058443.12,13,NA
33,2000,1000,10,3,kmeans++,hdf5,0.973750895,5347329.779,23,NA
34,2000,1000,10,3,kmeans++,hdf5,0.989889146,5563667.53,20,NA
35,2000,1000,10,3,kmeans++,hdf5,0.980806417,5290417.882,16,NA
36,2000,1000,10,3,kmeans++,hdf5,0.949412041,7046058.813,20,NA
37,2000,1000,10,3,kmeans++,hdf5,0.970586385,5415468.817,24,NA
38,2000,1000,10,3,kmeans++,hdf5,0.985834565,5220467.469,12,NA
39,2000,1000,10,3,kmeans++,hdf5,0.992785926,4668071.331,23,NA
40,2000,1000,10,3,kmeans++,hdf5,0.996826058,5182882.884,21,NA
41,2000,1000,10,3,kmeans++,hdf5,0.993337275,5069565.816,11,NA
42,2000,1000,10,3,kmeans++,hdf5,0.967998139,6289473.567,16,NA
43,2000,1000,10,3,kmeans++,hdf5,0.993458021,4839367.934,14,NA
44,2000,1000,10,3,kmeans++,hdf5,0.982471036,4964079.142,15,NA
45,2000,1000,10,3,kmeans++,hdf5,0.957570025,5736862.445,20,NA
46,2000,1000,10,3,kmeans++,hdf5,0.986882166,4792898.579,17,NA
47,2000,1000,10,3,kmeans++,hdf5,0.92969388,6774805.154,22,NA
48,2000,1000,10,3,kmeans++,hdf5,0.995388016,5219509.611,15,NA
49,2000,1000,10,3,kmeans++,hdf5,0.988777509,4904942.94,23,NA
50,2000,1000,10,3,kmeans++,hdf5,0.996574733,4956892.561,36,NA
1,2000,1000,35,3,kmeans++,hdf5,0.985369257,4171272.247,13,NA
2,2000,1000,35,3,kmeans++,hdf5,0.988768771,4188264.888,19,NA
3,2000,1000,35,3,kmeans++,hdf5,0.991747915,4160349.964,16,NA
4,2000,1000,35,3,kmeans++,hdf5,0.989714392,4373253.201,11,NA
5,2000,1000,35,3,kmeans++,hdf5,0.99010092,4292860.202,15,NA
6,2000,1000,35,3,kmeans++,hdf5,0.976739466,4546640.049,19,NA
7,2000,1000,35,3,kmeans++,hdf5,0.991969583,4346212.282,28,NA
8,2000,1000,35,3,kmeans++,hdf5,0.996823276,4644236.437,12,NA
9,2000,1000,35,3,kmeans++,hdf5,0.985851013,4230644.825,22,NA
10,2000,1000,35,3,kmeans++,hdf5,0.99213693,4278449.834,32,NA
11,2000,1000,35,3,kmeans++,hdf5,0.990851872,4509360.383,14,NA
12,2000,1000,35,3,kmeans++,hdf5,0.984816555,5048580.853,16,NA
13,2000,1000,35,3,kmeans++,hdf5,0.992768956,4983047.328,12,NA
14,2000,1000,35,3,kmeans++,hdf5,0.986898852,4527176.261,28,NA
15,2000,1000,35,3,kmeans++,hdf5,0.990257626,4276378.046,15,NA
16,2000,1000,35,3,kmeans++,hdf5,0.989745474,4513564.482,13,NA
17,2000,1000,35,3,kmeans++,hdf5,0.992117484,4247318.016,30,NA
18,2000,1000,35,3,kmeans++,hdf5,0.992157443,4236281.718,26,NA
19,2000,1000,35,3,kmeans++,hdf5,0.982233171,4191965.89,17,NA
20,2000,1000,35,3,kmeans++,hdf5,0.979104787,4453829.253,13,NA
21,2000,1000,35,3,kmeans++,hdf5,0.984188308,4573622.15,30,NA
22,2000,1000,35,3,kmeans++,hdf5,0.993654506,4303243.205,15,NA
23,2000,1000,35,3,kmeans++,hdf5,0.975869199,4468245.877,12,NA
24,2000,1000,35,3,kmeans++,hdf5,0.994897879,4623197.345,14,NA
25,2000,1000,35,3,kmeans++,hdf5,0.988314729,4211788.711,23,NA
26,2000,1000,35,3,kmeans++,hdf5,0.976306822,4170093.354,24,NA
27,2000,1000,35,3,kmeans++,hdf5,0.990610949,4255042.938,13,NA
28,2000,1000,35,3,kmeans++,hdf5,0.979061993,4312025.369,14,NA
29,2000,1000,35,3,kmeans++,hdf5,0.993637763,4343748.187,15,NA
30,2000,1000,35,3,kmeans++,hdf5,0.971096029,4915071.615,27,NA
31,2000,1000,35,3,kmeans++,hdf5,0.972413306,4352207.455,21,NA
32,2000,1000,35,3,kmeans++,hdf5,0.990488159,4206058.873,23,NA
33,2000,1000,35,3,kmeans++,hdf5,0.985612655,4236190.426,27,NA
34,2000,1000,35,3,kmeans++,hdf5,0.981929796,4379368.257,12,NA
35,2000,1000,35,3,kmeans++,hdf5,0.977282469,4487416.557,18,NA
36,2000,1000,35,3,kmeans++,hdf5,0.982583964,4288456.294,13,NA
37,2000,1000,35,3,kmeans++,hdf5,0.993098691,4253732.82,32,NA
38,2000,1000,35,3,kmeans++,hdf5,0.991916377,4435237.073,24,NA
39,2000,1000,35,3,kmeans++,hdf5,0.987737166,4259795.577,20,NA
40,2000,1000,35,3,kmeans++,hdf5,0.993627072,4232589.905,18,NA
41,2000,1000,35,3,kmeans++,hdf5,0.985418973,4242101.645,41,NA
42,2000,1000,35,3,kmeans++,hdf5,0.992289073,4199074.66,12,NA
43,2000,1000,35,3,kmeans++,hdf5,0.99272523,4139769.532,14,NA
44,2000,1000,35,3,kmeans++,hdf5,0.993202839,4260067.303,13,NA
45,2000,1000,35,3,kmeans++,hdf5,0.984883498,4252437.675,17,NA
46,2000,1000,35,3,kmeans++,hdf5,0.989626118,4332825.034,23,NA
47,2000,1000,35,3,kmeans++,hdf5,0.995353627,4300313.459,25,NA
48,2000,1000,35,3,kmeans++,hdf5,0.995520721,4287858.349,16,NA
49,2000,1000,35,3,kmeans++,hdf5,0.986876318,4578973.282,12,NA
50,2000,1000,35,3,kmeans++,hdf5,0.988563587,4202481.499,21,NA
1,2000,1000,75,3,kmeans++,hdf5,0.990844076,4229864.096,22,NA
2,2000,1000,75,3,kmeans++,hdf5,0.996589647,4167514.395,15,NA
3,2000,1000,75,3,kmeans++,hdf5,0.987446212,3903207.769,21,NA
4,2000,1000,75,3,kmeans++,hdf5,0.992211472,4191356.634,14,NA
5,2000,1000,75,3,kmeans++,hdf5,0.98708644,4383281.653,17,NA
6,2000,1000,75,3,kmeans++,hdf5,0.995314516,4050112.595,15,NA
7,2000,1000,75,3,kmeans++,hdf5,0.990452981,4023136.987,16,NA
