"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
3,1000,1000,0.5,3,random,mbkmeans,0.996561106315545,2017374.80464785
4,1000,1000,0.5,3,random,mbkmeans,0.989771184209612,2024349.9443761
5,1000,1000,0.5,3,random,mbkmeans,0.98699660819205,2032577.01080519
6,1000,1000,0.5,3,random,mbkmeans,0.993233299458965,1949846.693724
7,1000,1000,0.5,3,random,mbkmeans,0.993640362395749,2019867.9857523
8,1000,1000,0.5,3,random,mbkmeans,0.996589501731976,1954554.98323548
9,1000,1000,0.5,3,random,mbkmeans,0.990190498842975,1914797.41309975
10,1000,1000,0.5,3,random,mbkmeans,0.996636504808826,2034175.71638274
11,1000,1000,0.5,3,random,mbkmeans,0.993207555302808,2004624.52577403
12,1000,1000,0.5,3,random,mbkmeans,0.990503561902347,1905319.96134053
13,1000,1000,0.5,3,random,mbkmeans,0.993968784990805,2071377.41687876
14,1000,1000,0.5,3,random,mbkmeans,0.993183264775361,1909845.21218874
15,1000,1000,0.5,3,random,mbkmeans,0.966989067603445,1999481.38902345
16,1000,1000,0.5,3,random,mbkmeans,0.990666439673746,2093008.81016532
17,1000,1000,0.5,3,random,mbkmeans,0.980157415830218,2024597.28288735
18,1000,1000,0.5,3,random,mbkmeans,0.996988776013223,2035102.39139602
19,1000,1000,0.5,3,random,mbkmeans,0.990679516802116,1888510.6412144
20,1000,1000,0.5,3,random,mbkmeans,0.990610583060634,2016136.86008808
1,1000,1000,0.8,3,random,mbkmeans,1,1956846.95377931
2,1000,1000,0.8,3,random,mbkmeans,0.993646678563197,1981133.44227727
3,1000,1000,0.8,3,random,mbkmeans,0.9934179714625,2009358.87130832
4,1000,1000,0.8,3,random,mbkmeans,0.996568567387845,1978498.06520387
5,1000,1000,0.8,3,random,mbkmeans,0.989836725587119,1961463.48117391
6,1000,1000,0.8,3,random,mbkmeans,0.993628965340562,2001286.92750114
7,1000,1000,0.8,3,random,mbkmeans,0.996563777705139,1938484.91390546
8,1000,1000,0.8,3,random,mbkmeans,0.993721240792635,2056338.62607887
9,1000,1000,0.8,3,random,mbkmeans,0.981033110321958,1969973.23956682
10,1000,1000,0.8,3,random,mbkmeans,0.996554216526978,2044330.92930968
11,1000,1000,0.8,3,random,mbkmeans,0.993107155089998,1945836.58994067
12,1000,1000,0.8,3,random,mbkmeans,0.981821557752335,2069210.47323961
13,1000,1000,0.8,3,random,mbkmeans,0.990659944439378,1964945.57079269
14,1000,1000,0.8,3,random,mbkmeans,0.970938418668803,1963487.74207909
15,1000,1000,0.8,3,random,mbkmeans,0.993303633276641,1895381.36006816
16,1000,1000,0.8,3,random,mbkmeans,0.986265314320229,2067318.55739829
17,1000,1000,0.8,3,random,mbkmeans,0.983458906811185,2005874.0074723
18,1000,1000,0.8,3,random,mbkmeans,0.98630443324357,1947820.64100366
19,1000,1000,0.8,3,random,mbkmeans,0.996566688122264,2007731.2193742
20,1000,1000,0.8,3,random,mbkmeans,0.990339116198658,1940457.38803114
1,1000,1000,1,3,random,mbkmeans,0.993606661279103,1969258.96832886
2,1000,1000,1,3,random,mbkmeans,0.983393068641405,2005465.71581713
