"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
51,500,1000,0.005,3,random,hdf5,0.994447057650441,1849561.7510294
52,500,1000,0.005,3,random,hdf5,0.9558413201207,1775719.62414305
53,500,1000,0.005,3,random,hdf5,0.993912921781414,1611308.08753926
54,500,1000,0.005,3,random,hdf5,1,1705816.94661908
55,500,1000,0.005,3,random,hdf5,0.960243597880429,1755315.89881919
56,500,1000,0.005,3,random,hdf5,0.9464968897625,1784821.14055411
57,500,1000,0.005,3,random,hdf5,0.975392936940884,1600738.34310873
58,500,1000,0.005,3,random,hdf5,0.993095943312854,1819058.85015603
59,500,1000,0.005,3,random,hdf5,1,1578483.98980609
60,500,1000,0.005,3,random,hdf5,0.964311124836289,1643361.81482472
61,500,1000,0.005,3,random,hdf5,0.95513521170099,1651395.77886208
62,500,1000,0.005,3,random,hdf5,0.9485154622711,1615521.68662553
63,500,1000,0.005,3,random,hdf5,0.994361560085927,1759765.15225852
64,500,1000,0.005,3,random,hdf5,0.981303267840844,1363483.35978732
65,500,1000,0.005,3,random,hdf5,0.993404887328562,1462308.89521655
66,500,1000,0.005,3,random,hdf5,0.955267786234601,1477070.08395539
67,500,1000,0.005,3,random,hdf5,0.986464042986107,1697991.3451414
68,500,1000,0.005,3,random,hdf5,0.982207186996239,1782744.59257469
69,500,1000,0.005,3,random,hdf5,0.987365176648391,1733848.65652061
70,500,1000,0.005,3,random,hdf5,0.993229422712482,1388546.14477706
71,500,1000,0.005,3,random,hdf5,0.986317856825786,1687564.81433034
72,500,1000,0.005,3,random,hdf5,0.978842499935132,1746388.93096192
73,500,1000,0.005,3,random,hdf5,0.967135212292739,1594101.95085697
74,500,1000,0.005,3,random,hdf5,0.989210498540247,1561712.35755703
75,500,1000,0.005,3,random,hdf5,0.968806040795701,1762981.97657379
76,500,1000,0.005,3,random,hdf5,0.987241738907402,2223955.96800621
77,500,1000,0.005,3,random,hdf5,0.980288762654011,1546806.57303488
78,500,1000,0.005,3,random,hdf5,0.969708130106892,1718100.78793277
79,500,1000,0.005,3,random,hdf5,0.958569917019818,1836010.89666269
80,500,1000,0.005,3,random,hdf5,0.936056297845119,2111313.92205347
81,500,1000,0.005,3,random,hdf5,1,1308991.6177564
82,500,1000,0.005,3,random,hdf5,0.98207201258396,2464860.61185039
83,500,1000,0.005,3,random,hdf5,0.980342075502007,1867895.10257221
84,500,1000,0.005,3,random,hdf5,0.957495496124201,1603667.15581709
85,500,1000,0.005,3,random,hdf5,0.95928645115043,1703074.60354528
86,500,1000,0.005,3,random,hdf5,0.987260475532413,1661377.02108499
87,500,1000,0.005,3,random,hdf5,0.9548443480967,2094166.36515642
88,500,1000,0.005,3,random,hdf5,0.98729807672633,1457159.08096105
89,500,1000,0.005,3,random,hdf5,0.981339451470483,1410123.84704102
90,500,1000,0.005,3,random,hdf5,0.993938359220038,1903687.06674347
91,500,1000,0.005,3,random,hdf5,0.903564952267246,2014641.08405672
92,500,1000,0.005,3,random,hdf5,0.936064175821164,1828996.37388368
93,500,1000,0.005,3,random,hdf5,0.993351726503466,1600423.815887
94,500,1000,0.005,3,random,hdf5,0.994225286986558,1653895.80812777
95,500,1000,0.005,3,random,hdf5,0.993133519014586,1642600.42082305
96,500,1000,0.005,3,random,hdf5,0.987516038763291,1860619.43190578
97,500,1000,0.005,3,random,hdf5,0.972496476010892,1818343.18196583
98,500,1000,0.005,3,random,hdf5,0.982582151101861,1579558.3440865
99,500,1000,0.005,3,random,hdf5,0.969802090402955,1582422.09899356
100,500,1000,0.005,3,random,hdf5,0.959761839541505,2231852.48377112
101,500,1000,0.005,3,random,hdf5,0.969556255752435,2093207.09246112
102,500,1000,0.005,3,random,hdf5,0.980562289773617,1579198.82231207
103,500,1000,0.005,3,random,hdf5,0.946935326031819,1832676.82797517
104,500,1000,0.005,3,random,hdf5,1,1602552.51739691
105,500,1000,0.005,3,random,hdf5,1,1556817.69380923
106,500,1000,0.005,3,random,hdf5,0.96297856198233,1809192.07758186
107,500,1000,0.005,3,random,hdf5,0.970410235536652,1540879.3138763
108,500,1000,0.005,3,random,hdf5,0.940139888999749,1827904.64335805
109,500,1000,0.005,3,random,hdf5,0.993007768843892,1814886.79194266
110,500,1000,0.005,3,random,hdf5,0.981176557421096,1548397.55406778
111,500,1000,0.005,3,random,hdf5,0.989714879974043,1593406.23363863
112,500,1000,0.005,3,random,hdf5,0.963451975388441,2238107.9205006
113,500,1000,0.005,3,random,hdf5,0.986437021171024,1528471.03426038
114,500,1000,0.005,3,random,hdf5,0.993312575533245,1675394.2328357
115,500,1000,0.005,3,random,hdf5,0.959892518631036,1599808.36251429
116,500,1000,0.005,3,random,hdf5,0.994120166530255,1602266.66782664
117,500,1000,0.005,3,random,hdf5,0.986848077860188,1463589.83486626
118,500,1000,0.005,3,random,hdf5,0.986256487703772,1724445.31503408
119,500,1000,0.005,3,random,hdf5,0.971916712218867,2227260.39219974
120,500,1000,0.005,3,random,hdf5,1,1649276.43355365
121,500,1000,0.005,3,random,hdf5,0.982135782670359,1791158.73966482
122,500,1000,0.005,3,random,hdf5,0.959667809808183,1644629.26510207
123,500,1000,0.005,3,random,hdf5,0.956555990088887,2279087.92672804
124,500,1000,0.005,3,random,hdf5,0.976914947086653,1626047.50233794
125,500,1000,0.005,3,random,hdf5,1,1720678.38251768
126,500,1000,0.005,3,random,hdf5,0.994041768419627,1516753.90896056
127,500,1000,0.005,3,random,hdf5,0.964331550573507,2102535.82049374
128,500,1000,0.005,3,random,hdf5,0.967360114207047,1586223.45015555
129,500,1000,0.005,3,random,hdf5,0.981607911133459,1730279.75723446
