"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
19,500,1000,0.35,3,random,kmeans,0.986411659336841,970618.451499956
20,500,1000,0.35,3,random,kmeans,1,990282.453314015
1,500,1000,0.5,3,random,kmeans,0.986610683126223,968713.658546728
2,500,1000,0.5,3,random,kmeans,1,958380.151690209
3,500,1000,0.5,3,random,kmeans,0.982558811626327,969831.055762806
4,500,1000,0.5,3,random,kmeans,1,1016266.0138106
5,500,1000,0.5,3,random,kmeans,0.981361266021242,1071161.69744505
6,500,1000,0.5,3,random,kmeans,1,955968.758513677
7,500,1000,0.5,3,random,kmeans,0.99407262769562,950427.627820066
8,500,1000,0.5,3,random,kmeans,0.97448881893437,991073.106342044
9,500,1000,0.5,3,random,kmeans,0.987193063342889,978671.052351341
10,500,1000,0.5,3,random,kmeans,0.987358361304688,968461.892814428
11,500,1000,0.5,3,random,kmeans,0.980561796506734,984967.801530346
12,500,1000,0.5,3,random,kmeans,0.974817420890465,999899.89032882
13,500,1000,0.5,3,random,kmeans,0.980451256525139,1005958.26325594
14,500,1000,0.5,3,random,kmeans,0.974273087168798,1111122.83731788
15,500,1000,0.5,3,random,kmeans,0.973691181841939,973093.920844238
16,500,1000,0.5,3,random,kmeans,0.979385256538138,1005199.33226566
17,500,1000,0.5,3,random,kmeans,0.980426089677487,1030567.13397579
18,500,1000,0.5,3,random,kmeans,0.980605871036926,986994.873539557
19,500,1000,0.5,3,random,kmeans,1,1003798.00635876
20,500,1000,0.5,3,random,kmeans,0.987302684952951,984286.634812149
1,2000,1000,0.005,3,random,kmeans,0.98916122793198,4098997.97484506
2,2000,1000,0.005,3,random,kmeans,0.990810072021492,3990965.25540929
3,2000,1000,0.005,3,random,kmeans,0.981972142197636,4062431.42944778
4,2000,1000,0.005,3,random,kmeans,0.990069066395437,3903145.62408792
5,2000,1000,0.005,3,random,kmeans,0.99362383220164,4085404.55258115
6,2000,1000,0.005,3,random,kmeans,0.988775723504654,4209071.16675484
7,2000,1000,0.005,3,random,kmeans,0.993633340075507,3901461.52226951
8,2000,1000,0.005,3,random,kmeans,0.987252345348702,4011203.27314486
9,2000,1000,0.005,3,random,kmeans,0.993653147797249,3962052.16294589
10,2000,1000,0.005,3,random,kmeans,0.994876128395933,3901192.47440603
11,2000,1000,0.005,3,random,kmeans,0.991700298395253,3954771.25806762
12,2000,1000,0.005,3,random,kmeans,0.991940993126595,4062832.34988594
13,2000,1000,0.005,3,random,kmeans,0.977791499863653,4045815.5337286
14,2000,1000,0.005,3,random,kmeans,0.984975221089302,3878156.51432134
15,2000,1000,0.005,3,random,kmeans,0.974210246992663,3981886.86164959
16,2000,1000,0.005,3,random,kmeans,0.987972927823316,3953490.81578531
17,2000,1000,0.005,3,random,kmeans,0.985896124431547,3995878.37253894
18,2000,1000,0.005,3,random,kmeans,0.991714187312256,3943881.46983275
19,2000,1000,0.005,3,random,kmeans,0.985380123004912,4111560.10106207
20,2000,1000,0.005,3,random,kmeans,0.991950996692228,4239415.5946379
1,2000,1000,0.01,3,random,kmeans,0.990262425227432,4021751.31233973
2,2000,1000,0.01,3,random,kmeans,0.987713174653752,4129341.96202762
3,2000,1000,0.01,3,random,kmeans,0.987241720814872,3949008.27274325
4,2000,1000,0.01,3,random,kmeans,0.984370485691206,3947403.05670506
5,2000,1000,0.01,3,random,kmeans,0.996563545569787,4042271.70437827
6,2000,1000,0.01,3,random,kmeans,0.993729727386387,4147976.19592294
7,2000,1000,0.01,3,random,kmeans,0.9858303811999,4072612.36102674
8,2000,1000,0.01,3,random,kmeans,0.991961674734022,4079075.73364093
9,2000,1000,0.01,3,random,kmeans,0.988975378096356,3997787.71909192
10,2000,1000,0.01,3,random,kmeans,0.982456667404561,3962792.42257921
11,2000,1000,0.01,3,random,kmeans,0.98539372721223,3842383.27988694
12,2000,1000,0.01,3,random,kmeans,0.9914570333095,4205476.10684521
13,2000,1000,0.01,3,random,kmeans,0.982643456093083,4055998.24856844
14,2000,1000,0.01,3,random,kmeans,0.988557329887812,3896749.29356395
15,2000,1000,0.01,3,random,kmeans,0.988172281995922,3907981.07241524
16,2000,1000,0.01,3,random,kmeans,0.990891299857364,4000913.4298643
17,2000,1000,0.01,3,random,kmeans,0.989430937880499,3981315.79037268
18,2000,1000,0.01,3,random,kmeans,0.995376723409982,4038682.4900739
19,2000,1000,0.01,3,random,kmeans,0.97759612372924,3985206.55723592
20,2000,1000,0.01,3,random,kmeans,0.988779855211588,4023625.77540156
1,2000,1000,0.05,3,random,kmeans,0.995513460052864,3973430.01579968
2,2000,1000,0.05,3,random,kmeans,0.988928453816651,3773018.22341037
3,2000,1000,0.05,3,random,kmeans,1,4009114.57458284
4,2000,1000,0.05,3,random,kmeans,0.991952998305121,4103531.19015487
5,2000,1000,0.05,3,random,kmeans,0.989024056161664,3982589.69794809
6,2000,1000,0.05,3,random,kmeans,0.996632303209387,4079661.08276513
7,2000,1000,0.05,3,random,kmeans,0.987545849053044,3957986.44370942
8,2000,1000,0.05,3,random,kmeans,0.986702182925641,4018611.32896684
9,2000,1000,0.05,3,random,kmeans,0.985829814878989,3868703.4193851
10,2000,1000,0.05,3,random,kmeans,0.988410933322398,3937015.89642728
11,2000,1000,0.05,3,random,kmeans,0.988507506753888,4079993.02895382
12,2000,1000,0.05,3,random,kmeans,0.987064815054118,4019874.58957512
13,2000,1000,0.05,3,random,kmeans,0.983904326362314,3969025.23197481
14,2000,1000,0.05,3,random,kmeans,0.99081140513721,3879641.65652309
15,2000,1000,0.05,3,random,kmeans,0.993418755835155,4056619.06296651
16,2000,1000,0.05,3,random,kmeans,0.983504558356844,3915521.65166666
17,2000,1000,0.05,3,random,kmeans,0.990053160826175,4053570.94988635
18,2000,1000,0.05,3,random,kmeans,0.991944713517068,4031498.20251114
19,2000,1000,0.05,3,random,kmeans,0.980784399228933,4179819.65690847
20,2000,1000,0.05,3,random,kmeans,0.99047718580032,4020473.67985859
1,2000,1000,0.1,3,random,kmeans,0.991952017415643,4175871.10302993
2,2000,1000,0.1,3,random,kmeans,0.987579305444473,4191393.01864607
3,2000,1000,0.1,3,random,kmeans,0.990802738525143,3877287.64425734
4,2000,1000,0.1,3,random,kmeans,0.987285185201679,3962821.94632558
5,2000,1000,0.1,3,random,kmeans,0.99040304368696,3802500.22690116
6,2000,1000,0.1,3,random,kmeans,0.987529311384937,3959662.87785545
7,2000,1000,0.1,3,random,kmeans,0.993452652553166,4008746.5993703
8,2000,1000,0.1,3,random,kmeans,0.988609224697634,3894578.20949474
9,2000,1000,0.1,3,random,kmeans,0.993176197276354,3816950.08256092
10,2000,1000,0.1,3,random,kmeans,0.994964770747833,3966857.50840348
11,2000,1000,0.1,3,random,kmeans,0.97608876587853,4131739.32324975
12,2000,1000,0.1,3,random,kmeans,0.992190683798704,3857855.64469314
13,2000,1000,0.1,3,random,kmeans,0.990092682794399,4004702.24431884
14,2000,1000,0.1,3,random,kmeans,0.988722607997448,3940032.20370217
15,2000,1000,0.1,3,random,kmeans,0.990497622709434,3927881.28681376
16,2000,1000,0.1,3,random,kmeans,0.998313066351172,3829014.64706193
17,2000,1000,0.1,3,random,kmeans,0.987249566524536,3868843.99506921
18,2000,1000,0.1,3,random,kmeans,0.994021945316825,3995966.50797599
19,2000,1000,0.1,3,random,kmeans,0.988495711891271,3937825.08059085
20,2000,1000,0.1,3,random,kmeans,0.977205213429973,3842448.37956166
1,2000,1000,0.2,3,random,kmeans,0.991711389177979,4053463.36765673
2,2000,1000,0.2,3,random,kmeans,0.991940631807169,3890734.34306482
3,2000,1000,0.2,3,random,kmeans,0.988762556941799,3943962.56141302
4,2000,1000,0.2,3,random,kmeans,0.993407269105619,3945166.86601614
5,2000,1000,0.2,3,random,kmeans,0.988752444117582,3924115.77475695
6,2000,1000,0.2,3,random,kmeans,0.993634812996379,4063885.95846928
7,2000,1000,0.2,3,random,kmeans,0.984579212886413,4081962.2253975
8,2000,1000,0.2,3,random,kmeans,0.993620284805505,3857898.42033913
9,2000,1000,0.2,3,random,kmeans,0.989232686573183,4025197.2728188
10,2000,1000,0.2,3,random,kmeans,0.984910561830927,4094622.79821415
11,2000,1000,0.2,3,random,kmeans,0.995123681120891,3995173.58892154
12,2000,1000,0.2,3,random,kmeans,0.995110533130024,3866295.48880302
13,2000,1000,0.2,3,random,kmeans,0.993402683580015,4001839.24465902
14,2000,1000,0.2,3,random,kmeans,0.985564937444646,3929136.89593195
15,2000,1000,0.2,3,random,kmeans,0.990441541368479,3868846.29799687
16,2000,1000,0.2,3,random,kmeans,0.987535866976467,4041276.95796555
