"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
6,2000,1000,0.1,3,random,hdf5,0.996579726309683,4077254.08678051
7,2000,1000,0.1,3,random,hdf5,0.988481983059874,4065175.91669373
8,2000,1000,0.1,3,random,hdf5,0.988935594438554,4087494.77088033
9,2000,1000,0.1,3,random,hdf5,0.993222418868688,3956803.77326501
10,2000,1000,0.1,3,random,hdf5,0.98857248748861,4021723.50326413
11,2000,1000,0.1,3,random,hdf5,0.98857343894423,4275935.63132942
12,2000,1000,0.1,3,random,hdf5,0.988582104926797,4259218.18913677
13,2000,1000,0.1,3,random,hdf5,0.992365259161629,4052725.36902569
14,2000,1000,0.1,3,random,hdf5,0.988318576680771,3970495.21210133
15,2000,1000,0.1,3,random,hdf5,0.990478028754907,4074350.50265108
16,2000,1000,0.1,3,random,hdf5,0.98339372392048,4149690.53021599
17,2000,1000,0.1,3,random,hdf5,0.985096140267661,4037751.91075939
18,2000,1000,0.1,3,random,hdf5,0.986872867360171,4265477.4664832
19,2000,1000,0.1,3,random,hdf5,0.986804957422182,4078036.53779604
20,2000,1000,0.1,3,random,hdf5,0.985583229234465,3999445.83803934
1,2000,1000,0.2,3,random,hdf5,0.992778130244348,3976784.96886554
2,2000,1000,0.2,3,random,hdf5,0.993443776144504,4029212.81712044
3,2000,1000,0.2,3,random,hdf5,0.980937836561815,3977926.76679388
4,2000,1000,0.2,3,random,hdf5,0.993215037515005,4112492.67023709
5,2000,1000,0.2,3,random,hdf5,0.993425102579184,3786717.56653426
6,2000,1000,0.2,3,random,hdf5,0.9776133403798,3989682.85351073
7,2000,1000,0.2,3,random,hdf5,0.986914242537649,4036992.95373227
8,2000,1000,0.2,3,random,hdf5,0.993616298062833,3988358.66324859
9,2000,1000,0.2,3,random,hdf5,0.989168722576015,3837875.33364538
10,2000,1000,0.2,3,random,hdf5,0.990259832578045,3949636.81038046
11,2000,1000,0.2,3,random,hdf5,0.993641295454485,3885882.44369182
12,2000,1000,0.2,3,random,hdf5,0.99511518079154,3884210.7126055
13,2000,1000,0.2,3,random,hdf5,0.996812742677882,3833089.38570027
14,2000,1000,0.2,3,random,hdf5,0.984040108908105,3879318.53340593
15,2000,1000,0.2,3,random,hdf5,0.986898787849996,4153694.62866113
16,2000,1000,0.2,3,random,hdf5,0.988292631311117,4025695.50097177
17,2000,1000,0.2,3,random,hdf5,0.987079860058392,4240238.65738294
18,2000,1000,0.2,3,random,hdf5,0.980006009893648,4081529.30389511
19,2000,1000,0.2,3,random,hdf5,0.992124155333694,3996514.77164484
20,2000,1000,0.2,3,random,hdf5,0.990491414728434,4036537.24361861
