observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,,,,,,,,
75000,5000,0.02,1500,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.01333333,999,780.4523803,best,5000,1,TRUE,,,,,,,,
75000,5000,0.04,3000,4570.65645,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.02,1500,2961.546764,best,5000,1,full,,,,,,,,
75000,5000,0.04,3000,4539.882235,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.02,1500,2961.546833,best,5000,1,FALSE,,,,,,,,
500000,5000,0.00015,75,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.04,3000,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.02,1500,780.4523803,best,5000,1,TRUE,,,,,,,,
75000,5000,0.06666667,5000,4574.608164,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.04,3000,2910.913654,best,5000,1,full,,,,,,,,
75000,5000,0.06666667,5000,4574.608233,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.04,3000,2910.913723,best,5000,1,FALSE,,,,,,,,
500000,5000,3.00E-04,150,28261.10339,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.06666667,5000,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,3.00E-04,150,22403.91599,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.1,7500,4619.210825,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.04,3000,780.4523803,best,5000,1,TRUE,,,,,,,,
75000,5000,0.1,7500,4619.210894,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.06666667,5000,2938.196758,best,5000,1,full,,,,,,,,
75000,5000,0.06666667,5000,2938.196827,best,5000,1,FALSE,,,,,,,,
75000,5000,0.1,7500,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.13333333,9999,4570.755877,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.06666667,5000,780.4523803,best,5000,1,TRUE,,,,,,,,
75000,5000,0.13333333,9999,4570.755945,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.1,7500,2897.561542,best,5000,1,full,,,,,,,,
75000,5000,0.1,7500,2897.561611,best,5000,1,FALSE,,,,,,,,
75000,5000,0.13333333,9999,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.1,7500,780.4523803,best,5000,1,TRUE,,,,,,,,
75000,5000,0.13333333,9999,3070.260983,best,5000,1,full,,,,,,,,
75000,5000,0.13333333,9999,3070.261051,best,5000,1,FALSE,,,,,,,,
500000,5000,0.00015,75,1866.513114,best,5000,1,TRUE,,,,,,,,
500000,5000,3.00E-04,150,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.13333333,9999,780.4523803,best,5000,1,TRUE,,,,,,,,
500000,5000,3.00E-04,150,17265.37876,best,5000,1,full,,,,,,,,
500000,5000,6.00E-04,300,28165.71717,best,5000,1,full,mbkmeans,,,,,,,
500000,5000,3.00E-04,150,17265.37883,best,5000,1,FALSE,,,,,,,,
500000,5000,6.00E-04,300,22684.52856,best,5000,1,FALSE,mbkmeans,,,,,,,
500000,5000,6.00E-04,300,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,0.001,500,28184.91111,best,5000,1,full,mbkmeans,,,,,,,
500000,5000,0.001,500,23641.21081,best,5000,1,FALSE,mbkmeans,,,,,,,
500000,5000,3.00E-04,150,1866.513114,best,5000,1,TRUE,,,,,,,,
500000,5000,0.001,500,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,6.00E-04,300,17265.37876,best,5000,1,full,,,,,,,,
500000,5000,6.00E-04,300,17265.37883,best,5000,1,FALSE,,,,,,,,
500000,5000,0.002,1000,28203.67233,best,5000,1,full,mbkmeans,,,,,,,
500000,5000,0.002,1000,24273.31194,best,5000,1,FALSE,mbkmeans,,,,,,,
500000,5000,0.002,1000,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,0.003,1500,28165.77455,best,5000,1,full,mbkmeans,,,,,,,
500000,5000,0.003,1500,25342.31218,best,5000,1,FALSE,mbkmeans,,,,,,,
500000,5000,6.00E-04,300,1866.513114,best,5000,1,TRUE,,,,,,,,
500000,5000,0.001,500,17265.37876,best,5000,1,full,,,,,,,,
