observations,genes,batch size,abs batch size,time,geometry,dimension_1,dimension_2,,,,,,,,,,,,,,,,,,,,,,,,,
150000,5000,5.00E-04,75,1.77,82.924,1656.37,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
150000,5000,0.001,150,152.761,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.002,1000,66.882,369.176,2312.152,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
150000,5000,0.001,150,1.898,83.827,1374.543,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
300000,5000,0.016666667,5000,3.674,304.209,3812.843,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.001,75,80.31,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
300000,5000,0.025,7500,610.056,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.001,75,82.847,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.001,75,11.332,41.041,284.756,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,90.4,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.001,75,1.142,39.25,605.437,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,81.297,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,14.191,56.578,181.923,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,92.768,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,11.558,44.206,105.602,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01,750,94.841,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01,750,11.119,46.128,189.572,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,1.233,41.125,687.465,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,86.563,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,91.331,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,12.793,59.271,95.379,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,116.027,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,1.295,57.276,703.021,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01,750,94.94,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,12.703,82.393,570.628,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.04,3000,160.382,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01,750,1.732,51.134,620.012,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.04,3000,12.397,124.99,372.17,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,118.099,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.06666667,5000,182,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,1.503,72.847,599.77,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,138.181,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.06666667,5000,11.873,187.77,578.731,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
300000,5000,0.025,7500,3.463,581.722,3608.141,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.1,7500,181.648,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,1.19,63.633,522.749,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.04,3000,196.781,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
300000,5000,0.03333333,9999,723.181,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.1,7500,11.531,205.351,568.375,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.13333333,9999,222.159,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.06666667,5000,139.431,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.13333333,9999,14.667,239.701,189.435,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.1,7500,415.327,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.13333333,9999,450,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
300000,5000,0.03333333,9999,4.458,533.075,3530.676,best,5000,1,two steps,,,,,,,,,,,75000,5000,0.001,75,182.218,NA,NA,best,5000,1,full,mbkmeans
75000,5000,0.001,75,214.271,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.001,75,13.362,47.766,315.306,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,128.718,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.001,75,1.839,50.83,582.196,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,11.519,42.981,172.668,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,163.686,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,153.449,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.00015,75,1256.107,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,11.309,38.925,190.568,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.00015,75,1489.621,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01,750,136.395,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01,750,10.297,37.663,212.965,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.002,150,1.233,46.58,687.289,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,143.806,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,152.794,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,10.412,46.805,145.925,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
