observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,label2
500000,5000,3.00E-04,150,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,3.00E-04,150,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,3.00E-04,150,1866.513175,worst,1,500000,Labels,Worst-HDF5
500000,5000,6.00E-04,300,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,6.00E-04,300,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,6.00E-04,300,1866.513175,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.001,500,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.001,500,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,0.001,500,1866.513175,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.002,1000,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.002,1000,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,0.002,1000,1866.513175,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.003,1500,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.003,1500,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,0.003,1500,1866.513175,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.006,3000,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.006,3000,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,0.006,3000,1866.513175,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.01,5000,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.01,5000,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,0.01,5000,1866.513175,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.015,7500,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.015,7500,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,0.015,7500,1866.513175,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.02,10000,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.02,10000,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,0.02,10000,1866.513175,worst,1,500000,Labels,Worst-HDF5
