"B","observations","genes","abs_batch","k","method","WCSS"
18,10000,1000,150,15,ClusterR,536310467.732702
19,10000,1000,150,15,ClusterR,800156271.080646
20,10000,1000,150,15,ClusterR,321314366.448951
21,10000,1000,150,15,ClusterR,367566723.980786
22,10000,1000,150,15,ClusterR,630939069.584307
23,10000,1000,150,15,ClusterR,309112108.363167
24,10000,1000,150,15,ClusterR,511421130.349771
25,10000,1000,150,15,ClusterR,464408627.279803
26,10000,1000,150,15,ClusterR,547209170.598331
27,10000,1000,150,15,ClusterR,363589604.372283
28,10000,1000,150,15,ClusterR,577387028.72605
29,10000,1000,150,15,ClusterR,354199473.445821
30,10000,1000,150,15,ClusterR,297618612.345335
31,10000,1000,150,15,ClusterR,553669318.310667
32,10000,1000,150,15,ClusterR,1358482276.44719
33,10000,1000,150,15,ClusterR,389480748.026836
34,10000,1000,150,15,ClusterR,381030118.768438
35,10000,1000,150,15,ClusterR,343668950.734443
36,10000,1000,150,15,ClusterR,341305406.117816
37,10000,1000,150,15,ClusterR,508138681.064508
38,10000,1000,150,15,ClusterR,435691276.798351
39,10000,1000,150,15,ClusterR,369213826.795069
40,10000,1000,150,15,ClusterR,427014245.418491
41,10000,1000,150,15,ClusterR,998987334.647514
42,10000,1000,150,15,ClusterR,300775361.335627
43,10000,1000,150,15,ClusterR,716349519.42105
44,10000,1000,150,15,ClusterR,298606457.801618
45,10000,1000,150,15,ClusterR,888196123.048063
46,10000,1000,150,15,ClusterR,481863408.027639
47,10000,1000,150,15,ClusterR,305202315.546973
48,10000,1000,150,15,ClusterR,267458918.792724
49,10000,1000,150,15,ClusterR,351894646.86088
50,10000,1000,150,15,ClusterR,504626033.441046
1,10000,1000,500,15,ClusterR,258463173.711669
2,10000,1000,500,15,ClusterR,543846045.885577
3,10000,1000,500,15,ClusterR,324724305.140141
4,10000,1000,500,15,ClusterR,284691244.369117
5,10000,1000,500,15,ClusterR,295839185.168599
6,10000,1000,500,15,ClusterR,278362845.16408
7,10000,1000,500,15,ClusterR,322971903.793094
8,10000,1000,500,15,ClusterR,339566378.137501
9,10000,1000,500,15,ClusterR,418108879.701646
10,10000,1000,500,15,ClusterR,431370151.680398
11,10000,1000,500,15,ClusterR,381350241.945772
