"B","observations","genes","abs_batch","k","method","WCSS"
45,5000,1000,75,15,mbkmeans,235517896.09007
46,5000,1000,75,15,mbkmeans,209083040.500892
47,5000,1000,75,15,mbkmeans,236143839.306899
48,5000,1000,75,15,mbkmeans,344535776.529579
49,5000,1000,75,15,mbkmeans,231085999.929546
50,5000,1000,75,15,mbkmeans,175167843.423589
1,5000,1000,150,15,mbkmeans,171392346.348865
2,5000,1000,150,15,mbkmeans,172230317.926586
3,5000,1000,150,15,mbkmeans,221478701.370107
4,5000,1000,150,15,mbkmeans,164991601.949119
5,5000,1000,150,15,mbkmeans,254077424.796164
6,5000,1000,150,15,mbkmeans,176375964.883769
7,5000,1000,150,15,mbkmeans,221469613.842903
8,5000,1000,150,15,mbkmeans,247223259.992067
9,5000,1000,150,15,mbkmeans,193667875.436592
10,5000,1000,150,15,mbkmeans,291363850.895184
11,5000,1000,150,15,mbkmeans,175838206.278683
12,5000,1000,150,15,mbkmeans,155525220.147813
13,5000,1000,150,15,mbkmeans,174461351.714766
14,5000,1000,150,15,mbkmeans,209207207.376554
15,5000,1000,150,15,mbkmeans,222610082.10739
16,5000,1000,150,15,mbkmeans,191820947.693314
17,5000,1000,150,15,mbkmeans,241013135.092202
18,5000,1000,150,15,mbkmeans,140890171.924746
19,5000,1000,150,15,mbkmeans,205673920.259955
20,5000,1000,150,15,mbkmeans,223655600.755189
21,5000,1000,150,15,mbkmeans,137071332.650939
22,5000,1000,150,15,mbkmeans,144082941.338234
23,5000,1000,150,15,mbkmeans,146796195.035523
24,5000,1000,150,15,mbkmeans,190172669.356054
25,5000,1000,150,15,mbkmeans,145917519.410667
26,5000,1000,150,15,mbkmeans,190305155.013282
27,5000,1000,150,15,mbkmeans,138934577.602947
28,5000,1000,150,15,mbkmeans,304852572.562127
29,5000,1000,150,15,mbkmeans,143074907.637087
30,5000,1000,150,15,mbkmeans,196831641.386865
31,5000,1000,150,15,mbkmeans,190869459.919828
32,5000,1000,150,15,mbkmeans,159650116.450399
33,5000,1000,150,15,mbkmeans,203816863.683765
34,5000,1000,150,15,mbkmeans,254320689.813154
35,5000,1000,150,15,mbkmeans,168865032.840387
36,5000,1000,150,15,mbkmeans,188790012.335143
37,5000,1000,150,15,mbkmeans,152403098.621846
38,5000,1000,150,15,mbkmeans,202870353.666303
39,5000,1000,150,15,mbkmeans,196949767.903746
40,5000,1000,150,15,mbkmeans,195498574.131996
41,5000,1000,150,15,mbkmeans,172523928.752198
42,5000,1000,150,15,mbkmeans,159578593.530596
43,5000,1000,150,15,mbkmeans,169272487.873547
44,5000,1000,150,15,mbkmeans,297649021.707321
45,5000,1000,150,15,mbkmeans,182923097.458315
46,5000,1000,150,15,mbkmeans,186946393.511852
47,5000,1000,150,15,mbkmeans,144155069.588823
48,5000,1000,150,15,mbkmeans,230522034.26542
49,5000,1000,150,15,mbkmeans,399256187.380833
50,5000,1000,150,15,mbkmeans,177095287.728967
1,5000,1000,500,15,mbkmeans,132944845.7791
2,5000,1000,500,15,mbkmeans,167307067.881916
3,5000,1000,500,15,mbkmeans,160492147.784254
4,5000,1000,500,15,mbkmeans,131428775.283259
5,5000,1000,500,15,mbkmeans,139177457.2262
6,5000,1000,500,15,mbkmeans,154792977.124398
7,5000,1000,500,15,mbkmeans,145354935.912649
8,5000,1000,500,15,mbkmeans,174772236.375048
9,5000,1000,500,15,mbkmeans,184285320.999457
10,5000,1000,500,15,mbkmeans,178945149.997548
11,5000,1000,500,15,mbkmeans,156185282.344531
12,5000,1000,500,15,mbkmeans,143289828.935733
13,5000,1000,500,15,mbkmeans,139647146.566572
14,5000,1000,500,15,mbkmeans,140468070.279354
15,5000,1000,500,15,mbkmeans,133064337.216601
16,5000,1000,500,15,mbkmeans,170717052.797792
17,5000,1000,500,15,mbkmeans,176037809.9852
