"B","observations","genes","abs_batch","k","method","WCSS"
17,10000,1000,150,15,ClusterR,296799902.135751
18,10000,1000,150,15,ClusterR,329049728.858001
19,10000,1000,150,15,ClusterR,331684744.287901
20,10000,1000,150,15,ClusterR,495774626.504544
21,10000,1000,150,15,ClusterR,381181310.793711
22,10000,1000,150,15,ClusterR,272920906.499556
23,10000,1000,150,15,ClusterR,478497136.87881
24,10000,1000,150,15,ClusterR,464683027.684557
25,10000,1000,150,15,ClusterR,574515771.189333
26,10000,1000,150,15,ClusterR,528512565.734017
27,10000,1000,150,15,ClusterR,411888280.852472
28,10000,1000,150,15,ClusterR,327032606.153796
29,10000,1000,150,15,ClusterR,460216763.59539
30,10000,1000,150,15,ClusterR,396359273.478286
31,10000,1000,150,15,ClusterR,343828829.320947
32,10000,1000,150,15,ClusterR,513926068.61803
33,10000,1000,150,15,ClusterR,511431312.773317
34,10000,1000,150,15,ClusterR,394061242.031058
35,10000,1000,150,15,ClusterR,298638970.850419
36,10000,1000,150,15,ClusterR,273416288.948735
37,10000,1000,150,15,ClusterR,418776574.266406
38,10000,1000,150,15,ClusterR,435576328.977012
39,10000,1000,150,15,ClusterR,303704411.642937
40,10000,1000,150,15,ClusterR,392082626.704776
41,10000,1000,150,15,ClusterR,512337994.55097
42,10000,1000,150,15,ClusterR,466473372.065529
43,10000,1000,150,15,ClusterR,268911843.391559
44,10000,1000,150,15,ClusterR,291120064.574555
45,10000,1000,150,15,ClusterR,422389099.502356
46,10000,1000,150,15,ClusterR,299621343.747119
47,10000,1000,150,15,ClusterR,559638920.915844
48,10000,1000,150,15,ClusterR,344038877.813184
49,10000,1000,150,15,ClusterR,475538808.760219
50,10000,1000,150,15,ClusterR,292872304.83296
1,10000,1000,500,15,ClusterR,334913159.218347
2,10000,1000,500,15,ClusterR,311561416.712843
3,10000,1000,500,15,ClusterR,250347912.685857
4,10000,1000,500,15,ClusterR,365603893.376037
5,10000,1000,500,15,ClusterR,346115168.120294
6,10000,1000,500,15,ClusterR,251170549.323902
7,10000,1000,500,15,ClusterR,317571146.927496
8,10000,1000,500,15,ClusterR,317565531.814646
9,10000,1000,500,15,ClusterR,318041582.741844
10,10000,1000,500,15,ClusterR,262175650.674911
11,10000,1000,500,15,ClusterR,276682797.138745
12,10000,1000,500,15,ClusterR,311059127.025589
13,10000,1000,500,15,ClusterR,310887103.605372
14,10000,1000,500,15,ClusterR,330700460.69585
15,10000,1000,500,15,ClusterR,249125734.386026
16,10000,1000,500,15,ClusterR,254542905.622634
17,10000,1000,500,15,ClusterR,223966298.392877
18,10000,1000,500,15,ClusterR,275197854.972678
19,10000,1000,500,15,ClusterR,305400796.933824
20,10000,1000,500,15,ClusterR,392807666.951873
