"B","observations","genes","abs_batch","k","method","WCSS"
32,5000,5000,150,15,kmeans,114624576.822309
33,5000,5000,150,15,kmeans,146240628.780657
34,5000,5000,150,15,kmeans,146158843.07121
35,5000,5000,150,15,kmeans,114241483.50708
36,5000,5000,150,15,kmeans,114624576.822309
37,5000,5000,150,15,kmeans,115255820.584536
38,5000,5000,150,15,kmeans,114348957.781387
39,5000,5000,150,15,kmeans,145975549.032126
40,5000,5000,150,15,kmeans,146078527.679536
41,5000,5000,150,15,kmeans,114295234.269014
42,5000,5000,150,15,kmeans,146053523.694285
43,5000,5000,150,15,kmeans,114348582.680453
44,5000,5000,150,15,kmeans,146324996.525596
45,5000,5000,150,15,kmeans,145947147.700458
46,5000,5000,150,15,kmeans,114629585.297601
47,5000,5000,150,15,kmeans,114737737.528419
48,5000,5000,150,15,kmeans,114241435.274099
49,5000,5000,150,15,kmeans,114629557.384647
50,5000,5000,150,15,kmeans,145949300.444886
1,5000,5000,500,15,kmeans,114248843.989296
2,5000,5000,500,15,kmeans,146486866.394763
3,5000,5000,500,15,kmeans,146307442.626138
4,5000,5000,500,15,kmeans,145948556.863052
5,5000,5000,500,15,kmeans,146266185.787602
6,5000,5000,500,15,kmeans,146123069.327634
7,5000,5000,500,15,kmeans,145721597.545487
8,5000,5000,500,15,kmeans,145969409.921825
9,5000,5000,500,15,kmeans,114757211.000732
10,5000,5000,500,15,kmeans,146266928.629397
11,5000,5000,500,15,kmeans,114416276.841872
12,5000,5000,500,15,kmeans,146049150.527358
13,5000,5000,500,15,kmeans,114351223.919263
14,5000,5000,500,15,kmeans,146292929.297934
15,5000,5000,500,15,kmeans,114311290.583253
16,5000,5000,500,15,kmeans,146053523.694285
17,5000,5000,500,15,kmeans,114348888.114596
18,5000,5000,500,15,kmeans,114241435.81068
19,5000,5000,500,15,kmeans,114344856.022182
20,5000,5000,500,15,kmeans,114504809.775403
21,5000,5000,500,15,kmeans,114241910.85515
22,5000,5000,500,15,kmeans,146085537.999799
23,5000,5000,500,15,kmeans,114242004.854193
24,5000,5000,500,15,kmeans,146243358.416227
25,5000,5000,500,15,kmeans,146334142.899885
26,5000,5000,500,15,kmeans,145968035.506994
27,5000,5000,500,15,kmeans,114628406.072318
28,5000,5000,500,15,kmeans,145968957.31548
29,5000,5000,500,15,kmeans,145964050.179894
30,5000,5000,500,15,kmeans,114625517.26164
31,5000,5000,500,15,kmeans,145959258.173319
32,5000,5000,500,15,kmeans,145965599.305689
33,5000,5000,500,15,kmeans,145965376.15926
34,5000,5000,500,15,kmeans,114351727.421433
35,5000,5000,500,15,kmeans,146219102.46017
36,5000,5000,500,15,kmeans,114241457.010614
37,5000,5000,500,15,kmeans,145970993.945618
38,5000,5000,500,15,kmeans,145965098.195841
39,5000,5000,500,15,kmeans,146485364.922768
40,5000,5000,500,15,kmeans,114350990.092422
41,5000,5000,500,15,kmeans,145976433.305681
42,5000,5000,500,15,kmeans,145967504.153458
43,5000,5000,500,15,kmeans,146044815.091138
44,5000,5000,500,15,kmeans,146428660.691424
45,5000,5000,500,15,kmeans,145726057.199852
46,5000,5000,500,15,kmeans,114628406.072318
47,5000,5000,500,15,kmeans,146141312.389172
48,5000,5000,500,15,kmeans,146044202.266801
49,5000,5000,500,15,kmeans,114774220.187993
50,5000,5000,500,15,kmeans,114736353.967937
1,5000,5000,750,15,kmeans,114167143.850808
2,5000,5000,750,15,kmeans,146049636.274406
3,5000,5000,750,15,kmeans,145972846.393199
4,5000,5000,750,15,kmeans,114241480.73018
5,5000,5000,750,15,kmeans,114737046.194577
6,5000,5000,750,15,kmeans,146044202.266801
7,5000,5000,750,15,kmeans,145904288.646217
8,5000,5000,750,15,kmeans,146049124.462579
9,5000,5000,750,15,kmeans,145971058.68749
10,5000,5000,750,15,kmeans,146170481.231496
11,5000,5000,750,15,kmeans,146489539.11009
12,5000,5000,750,15,kmeans,145949300.444886
13,5000,5000,750,15,kmeans,146077933.224417
14,5000,5000,750,15,kmeans,114241435.81068
15,5000,5000,750,15,kmeans,146550853.457803
16,5000,5000,750,15,kmeans,114896524.938824
17,5000,5000,750,15,kmeans,146239171.61502
18,5000,5000,750,15,kmeans,145743043.637057
19,5000,5000,750,15,kmeans,114628406.072318
20,5000,5000,750,15,kmeans,114489101.90539
21,5000,5000,750,15,kmeans,146066460.108252
22,5000,5000,750,15,kmeans,146155391.85559
23,5000,5000,750,15,kmeans,146651134.850823
24,5000,5000,750,15,kmeans,146480611.055454
25,5000,5000,750,15,kmeans,114929123.28659
26,5000,5000,750,15,kmeans,114528448.072768
27,5000,5000,750,15,kmeans,146122576.106354
28,5000,5000,750,15,kmeans,146540968.305176
29,5000,5000,750,15,kmeans,145965605.7204
30,5000,5000,750,15,kmeans,146625960.82336
31,5000,5000,750,15,kmeans,114495383.348018
32,5000,5000,750,15,kmeans,114299999.86617
33,5000,5000,750,15,kmeans,114304331.832094
34,5000,5000,750,15,kmeans,145750492.745435
35,5000,5000,750,15,kmeans,145961368.875813
36,5000,5000,750,15,kmeans,146191763.323734
37,5000,5000,750,15,kmeans,146114268.353742
38,5000,5000,750,15,kmeans,114241923.677556
39,5000,5000,750,15,kmeans,146155340.126398
40,5000,5000,750,15,kmeans,106302874.329326
41,5000,5000,750,15,kmeans,145982073.478369
42,5000,5000,750,15,kmeans,146155650.607227
43,5000,5000,750,15,kmeans,114851237.348638
44,5000,5000,750,15,kmeans,114351681.585697
45,5000,5000,750,15,kmeans,145974252.898713
46,5000,5000,750,15,kmeans,114629533.982516
47,5000,5000,750,15,kmeans,146124814.340841
48,5000,5000,750,15,kmeans,145747063.812665
49,5000,5000,750,15,kmeans,145952547.67133
50,5000,5000,750,15,kmeans,145949104.271884
1,5000,5000,1000,15,kmeans,146122735.681357
2,5000,5000,1000,15,kmeans,146049094.169108
3,5000,5000,1000,15,kmeans,114629551.399498
4,5000,5000,1000,15,kmeans,114241948.039196
5,5000,5000,1000,15,kmeans,146137189.078561
6,5000,5000,1000,15,kmeans,145945824.770553
7,5000,5000,1000,15,kmeans,146753537.736957
8,5000,5000,1000,15,kmeans,145972629.39987
9,5000,5000,1000,15,kmeans,146549735.203745
10,5000,5000,1000,15,kmeans,114250585.226269
11,5000,5000,1000,15,kmeans,114348597.416464
12,5000,5000,1000,15,kmeans,146529497.068137
13,5000,5000,1000,15,kmeans,146060909.598359
14,5000,5000,1000,15,kmeans,106877917.254142
15,5000,5000,1000,15,kmeans,114241465.672237
16,5000,5000,1000,15,kmeans,114241471.918628
17,5000,5000,1000,15,kmeans,146790940.70006
18,5000,5000,1000,15,kmeans,146391334.241974
19,5000,5000,1000,15,kmeans,114413862.37838
20,5000,5000,1000,15,kmeans,114414282.807716
21,5000,5000,1000,15,kmeans,146178109.103912
22,5000,5000,1000,15,kmeans,146743576.487898
23,5000,5000,1000,15,kmeans,145978267.733227
24,5000,5000,1000,15,kmeans,146156388.290086
25,5000,5000,1000,15,kmeans,146707449.144687
26,5000,5000,1000,15,kmeans,114751382.284382
27,5000,5000,1000,15,kmeans,146118294.879871
28,5000,5000,1000,15,kmeans,114765445.539517
29,5000,5000,1000,15,kmeans,114629557.384647
30,5000,5000,1000,15,kmeans,146527890.684979
31,5000,5000,1000,15,kmeans,146291845.232549
32,5000,5000,1000,15,kmeans,114478518.69627
33,5000,5000,1000,15,kmeans,146249593.103669
34,5000,5000,1000,15,kmeans,145959299.444044
35,5000,5000,1000,15,kmeans,114791381.828934
36,5000,5000,1000,15,kmeans,146500673.123063
37,5000,5000,1000,15,kmeans,146033608.827493
38,5000,5000,1000,15,kmeans,145944644.435952
39,5000,5000,1000,15,kmeans,114352294.969375
40,5000,5000,1000,15,kmeans,146237884.006985
41,5000,5000,1000,15,kmeans,146152932.805212
42,5000,5000,1000,15,kmeans,146049121.029337
43,5000,5000,1000,15,kmeans,114527572.305677
44,5000,5000,1000,15,kmeans,114349254.235579
45,5000,5000,1000,15,kmeans,114629531.180264
46,5000,5000,1000,15,kmeans,114262396.933418
47,5000,5000,1000,15,kmeans,145969168.329314
48,5000,5000,1000,15,kmeans,146048904.035601
49,5000,5000,1000,15,kmeans,146007650.082842
50,5000,5000,1000,15,kmeans,114624576.822309
