"B","observations","genes","abs_batch","k","method","WCSS"
40,5000,5000,500,15,hdf5,122823010.62001
41,5000,5000,500,15,hdf5,171702225.128176
42,5000,5000,500,15,hdf5,156160407.501211
43,5000,5000,500,15,hdf5,157696672.986825
44,5000,5000,500,15,hdf5,121364466.45205
45,5000,5000,500,15,hdf5,198291960.356235
46,5000,5000,500,15,hdf5,154749285.973918
47,5000,5000,500,15,hdf5,158014161.341088
48,5000,5000,500,15,hdf5,160356102.908098
49,5000,5000,500,15,hdf5,124483615.516036
50,5000,5000,500,15,hdf5,123180795.308877
1,5000,5000,750,15,hdf5,152859598.28561
2,5000,5000,750,15,hdf5,136879174.741981
3,5000,5000,750,15,hdf5,129718552.806254
4,5000,5000,750,15,hdf5,121649404.027549
5,5000,5000,750,15,hdf5,142089442.0627
6,5000,5000,750,15,hdf5,110467936.700522
7,5000,5000,750,15,hdf5,125386271.652969
8,5000,5000,750,15,hdf5,122339141.828388
9,5000,5000,750,15,hdf5,150065919.350122
10,5000,5000,750,15,hdf5,118278167.915608
11,5000,5000,750,15,hdf5,162564617.3472
12,5000,5000,750,15,hdf5,119735893.960673
13,5000,5000,750,15,hdf5,109864451.731574
14,5000,5000,750,15,hdf5,155842499.738031
15,5000,5000,750,15,hdf5,131181219.669498
16,5000,5000,750,15,hdf5,158049603.535299
17,5000,5000,750,15,hdf5,155614591.036628
18,5000,5000,750,15,hdf5,130594618.727023
19,5000,5000,750,15,hdf5,127520389.460494
20,5000,5000,750,15,hdf5,159436013.277254
21,5000,5000,750,15,hdf5,119739585.508552
22,5000,5000,750,15,hdf5,175648936.017804
23,5000,5000,750,15,hdf5,125288486.371318
24,5000,5000,750,15,hdf5,119974531.149038
25,5000,5000,750,15,hdf5,142534964.608372
26,5000,5000,750,15,hdf5,119571660.051162
27,5000,5000,750,15,hdf5,118493222.376043
28,5000,5000,750,15,hdf5,121429967.328954
29,5000,5000,750,15,hdf5,150681870.231211
30,5000,5000,750,15,hdf5,154680289.102255
31,5000,5000,750,15,hdf5,152895240.300435
32,5000,5000,750,15,hdf5,121804887.047882
33,5000,5000,750,15,hdf5,163969497.478144
34,5000,5000,750,15,hdf5,176354409.606352
35,5000,5000,750,15,hdf5,116707701.341977
36,5000,5000,750,15,hdf5,121151507.97446
37,5000,5000,750,15,hdf5,150536086.158383
38,5000,5000,750,15,hdf5,151709364.117236
39,5000,5000,750,15,hdf5,119539610.154855
40,5000,5000,750,15,hdf5,146472349.04014
41,5000,5000,750,15,hdf5,157539710.264321
42,5000,5000,750,15,hdf5,152183431.690495
43,5000,5000,750,15,hdf5,142859866.269644
44,5000,5000,750,15,hdf5,122865572.749199
45,5000,5000,750,15,hdf5,156766264.328122
46,5000,5000,750,15,hdf5,121062655.780449
47,5000,5000,750,15,hdf5,126165061.289327
48,5000,5000,750,15,hdf5,118587214.594158
49,5000,5000,750,15,hdf5,152136007.167997
50,5000,5000,750,15,hdf5,136025389.05505
1,5000,5000,1000,15,hdf5,163012460.924423
2,5000,5000,1000,15,hdf5,154669426.398323
3,5000,5000,1000,15,hdf5,125884950.811459
4,5000,5000,1000,15,hdf5,152119614.515834
5,5000,5000,1000,15,hdf5,158059109.958858
6,5000,5000,1000,15,hdf5,161751155.376269
7,5000,5000,1000,15,hdf5,122160640.880904
8,5000,5000,1000,15,hdf5,135765344.919152
9,5000,5000,1000,15,hdf5,152418886.13843
10,5000,5000,1000,15,hdf5,127610181.25077
11,5000,5000,1000,15,hdf5,137182749.976489
