"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
49,75000,1000,0.005,3,random,kmeans,0.988890099273446,156665515.946946
50,75000,1000,0.005,3,random,kmeans,0.988738576298487,148036688.255622
51,75000,1000,0.005,3,random,kmeans,0.989745610906686,152693779.684701
52,75000,1000,0.005,3,random,kmeans,0.989923894565154,151615409.765212
53,75000,1000,0.005,3,random,kmeans,0.991277243661197,152801394.15236
54,75000,1000,0.005,3,random,kmeans,0.990170608202644,149833884.840948
55,75000,1000,0.005,3,random,kmeans,0.988556087386919,149716535.868993
56,75000,1000,0.005,3,random,kmeans,0.989776697144237,149478788.559069
57,75000,1000,0.005,3,random,kmeans,0.988652061472784,147845913.777773
58,75000,1000,0.005,3,random,kmeans,0.988900474017847,148835714.936818
59,75000,1000,0.005,3,random,kmeans,0.9897128513535,146763980.65147
60,75000,1000,0.005,3,random,kmeans,0.990383451827892,149128714.43416
61,75000,1000,0.005,3,random,kmeans,0.989383549198286,156518146.108667
62,75000,1000,0.005,3,random,kmeans,0.989512029359292,150901328.338338
63,75000,1000,0.005,3,random,kmeans,0.989198031347944,149765986.768862
64,75000,1000,0.005,3,random,kmeans,0.989500806689606,150292880.336779
65,75000,1000,0.005,3,random,kmeans,0.988967463238888,150788894.118989
66,75000,1000,0.005,3,random,kmeans,0.990852118997542,147073078.04068
67,75000,1000,0.005,3,random,kmeans,0.991173376920093,149537857.939541
68,75000,1000,0.005,3,random,kmeans,0.991038508004336,148060370.177172
69,75000,1000,0.005,3,random,kmeans,0.989789753062426,147893055.444447
70,75000,1000,0.005,3,random,kmeans,0.991055372150913,153663280.016307
71,75000,1000,0.005,3,random,kmeans,0.989975373598992,149238759.438627
72,75000,1000,0.005,3,random,kmeans,0.98939031931459,145101200.152509
73,75000,1000,0.005,3,random,kmeans,0.989386436092269,146582302.735308
74,75000,1000,0.005,3,random,kmeans,0.989308641150412,149857212.098793
75,75000,1000,0.005,3,random,kmeans,0.989552242612809,152669210.15795
76,75000,1000,0.005,3,random,kmeans,0.989103305642571,152602585.727817
77,75000,1000,0.005,3,random,kmeans,0.988544404962235,149903225.446308
78,75000,1000,0.005,3,random,kmeans,0.989725394446736,154073333.039605
79,75000,1000,0.005,3,random,kmeans,0.98984755906257,152105281.469377
80,75000,1000,0.005,3,random,kmeans,0.989706949047677,151361727.360044
1,75000,1000,0.01,3,random,kmeans,0.989467398332776,149512491.021216
2,75000,1000,0.01,3,random,kmeans,0.989074623064308,150576428.356821
3,75000,1000,0.01,3,random,kmeans,0.990227287395917,146190630.88696
4,75000,1000,0.01,3,random,kmeans,0.989988750861076,148019648.680022
5,75000,1000,0.01,3,random,kmeans,0.988810575200243,149886740.897589
6,75000,1000,0.01,3,random,kmeans,0.990523686263372,150176056.83021
7,75000,1000,0.01,3,random,kmeans,0.990091220450084,148190418.071303
8,75000,1000,0.01,3,random,kmeans,0.990358093354071,151708466.657017
9,75000,1000,0.01,3,random,kmeans,0.988931612617779,153883881.243013
