"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
34,1000,1000,0.01,3,random,hdf5,0.925027225234978,3399315.20741739
35,1000,1000,0.01,3,random,hdf5,0.974478370475953,2471034.64505233
36,1000,1000,0.01,3,random,hdf5,0.982836556949471,2792157.90790513
37,1000,1000,0.01,3,random,hdf5,0.982433942428058,3400805.22214397
38,1000,1000,0.01,3,random,hdf5,0.980973966497144,2655870.26421721
39,1000,1000,0.01,3,random,hdf5,0.987615022504882,3757816.21054138
40,1000,1000,0.01,3,random,hdf5,0.996576079576425,3062885.41245081
41,1000,1000,0.01,3,random,hdf5,0.984016046815667,2600234.35560493
42,1000,1000,0.01,3,random,hdf5,0.980554653755276,2601861.68441962
43,1000,1000,0.01,3,random,hdf5,0.976944974225829,2597776.49780536
44,1000,1000,0.01,3,random,hdf5,0.98795098173224,2654956.41429028
45,1000,1000,0.01,3,random,hdf5,0.993627178108934,2838449.85048403
46,1000,1000,0.01,3,random,hdf5,0.993625198872389,3017129.08941739
47,1000,1000,0.01,3,random,hdf5,0.990673334930932,3693165.9520103
48,1000,1000,0.01,3,random,hdf5,0.990588662460924,2454107.98140211
49,1000,1000,0.01,3,random,hdf5,0.978926360466789,2467706.4927448
50,1000,1000,0.01,3,random,hdf5,0.996634954535917,2533386.11715826
51,1000,1000,0.01,3,random,hdf5,0.959837106810893,2854775.50205923
52,1000,1000,0.01,3,random,hdf5,1,2407425.13311871
53,1000,1000,0.01,3,random,hdf5,0.977137478298448,2542521.26577521
54,1000,1000,0.01,3,random,hdf5,0.981673509098025,3869971.47265009
55,1000,1000,0.01,3,random,hdf5,0.973991697764117,3009161.4772853
56,1000,1000,0.01,3,random,hdf5,0.980444054071577,2433170.1833677
57,1000,1000,0.01,3,random,hdf5,0.984495471975542,2655587.57068175
58,1000,1000,0.01,3,random,hdf5,1,3124877.14272243
59,1000,1000,0.01,3,random,hdf5,0.993616974939953,2434581.65336092
60,1000,1000,0.01,3,random,hdf5,0.969485082173232,2878017.73732606
61,1000,1000,0.01,3,random,hdf5,0.997911776162706,2328521.87587752
62,1000,1000,0.01,3,random,hdf5,0.996618923995405,2390345.52902793
63,1000,1000,0.01,3,random,hdf5,0.990691417034466,2209882.50515201
64,1000,1000,0.01,3,random,hdf5,0.994001105135518,2592478.3732603
65,1000,1000,0.01,3,random,hdf5,0.977090460354263,2617448.37079145
66,1000,1000,0.01,3,random,hdf5,0.983492904587394,2773164.5313317
67,1000,1000,0.01,3,random,hdf5,1,3152866.81212984
68,1000,1000,0.01,3,random,hdf5,0.983924731133009,2464438.22988283
69,1000,1000,0.01,3,random,hdf5,0.977893884632958,2528712.9941421
70,1000,1000,0.01,3,random,hdf5,0.987289890332989,2293271.48273404
71,1000,1000,0.01,3,random,hdf5,0.983865869310257,2444408.81530395
72,1000,1000,0.01,3,random,hdf5,0.991120428297579,2362643.97196886
73,1000,1000,0.01,3,random,hdf5,0.967150976608491,2786033.6698922
74,1000,1000,0.01,3,random,hdf5,0.993335238263307,2293601.15347495
75,1000,1000,0.01,3,random,hdf5,0.983892133046642,2786359.44746091
76,1000,1000,0.01,3,random,hdf5,0.993616457391898,2633487.96577188
77,1000,1000,0.01,3,random,hdf5,0.978428836973614,3088331.56213682
78,1000,1000,0.01,3,random,hdf5,0.991496803499103,3244069.52887883
79,1000,1000,0.01,3,random,hdf5,0.989818064595082,2548161.46814077
80,1000,1000,0.01,3,random,hdf5,0.990269795302715,2357589.81662478
1,1000,1000,0.05,3,random,hdf5,0.993632912812991,2107956.25347904
2,1000,1000,0.05,3,random,hdf5,0.993898670046264,1997872.13483192
3,1000,1000,0.05,3,random,hdf5,0.987900965188276,2064663.04531732
4,1000,1000,0.05,3,random,hdf5,0.987202414761041,2221492.44249263
5,1000,1000,0.05,3,random,hdf5,0.984186393401301,1942191.90210328
6,1000,1000,0.05,3,random,hdf5,0.991188311338611,2130020.08293539
7,1000,1000,0.05,3,random,hdf5,0.974231575282876,2089745.96930181
8,1000,1000,0.05,3,random,hdf5,0.993642821863137,2145022.07749098
9,1000,1000,0.05,3,random,hdf5,0.986814692056132,2241501.73741816
10,1000,1000,0.05,3,random,hdf5,0.983584732245633,2103888.61817223
11,1000,1000,0.05,3,random,hdf5,0.99662467319195,2084485.20986358
12,1000,1000,0.05,3,random,hdf5,1,2146014.37139501
13,1000,1000,0.05,3,random,hdf5,0.997071265844351,2112878.50708657
14,1000,1000,0.05,3,random,hdf5,0.991154454242363,2133067.90967721
15,1000,1000,0.05,3,random,hdf5,0.98390874904678,2402265.75283778
16,1000,1000,0.05,3,random,hdf5,0.994088370857362,2103626.23161525
17,1000,1000,0.05,3,random,hdf5,0.983914077655934,2130997.41975667
18,1000,1000,0.05,3,random,hdf5,0.990029333836299,2112255.64424939
19,1000,1000,0.05,3,random,hdf5,0.99700614464322,2022491.51759101
20,1000,1000,0.05,3,random,hdf5,0.993617855813404,2165742.22747727
21,1000,1000,0.05,3,random,hdf5,0.987319329631572,2111763.77085372
22,1000,1000,0.05,3,random,hdf5,0.993656019868182,2127219.72564834
23,1000,1000,0.05,3,random,hdf5,0.993606344172133,1932297.3972862
24,1000,1000,0.05,3,random,hdf5,0.984150643203479,2160053.39895698
25,1000,1000,0.05,3,random,hdf5,0.986871998706548,2157671.04111939
26,1000,1000,0.05,3,random,hdf5,0.996594209523624,2053126.59091482
27,1000,1000,0.05,3,random,hdf5,0.993134378459573,2131959.08378079
28,1000,1000,0.05,3,random,hdf5,0.993221172265872,2191018.32780589
29,1000,1000,0.05,3,random,hdf5,0.983328929156996,2231584.9263099
30,1000,1000,0.05,3,random,hdf5,0.991481228578036,2044143.28066739
31,1000,1000,0.05,3,random,hdf5,0.993671736419688,2162693.06257375
32,1000,1000,0.05,3,random,hdf5,0.97313708946952,2119692.27780171
33,1000,1000,0.05,3,random,hdf5,0.990226983024245,2141404.93507071
34,1000,1000,0.05,3,random,hdf5,0.977527563203078,2045175.20200908
35,1000,1000,0.05,3,random,hdf5,0.970235750940452,2614669.17754926
36,1000,1000,0.05,3,random,hdf5,0.99659861154901,2046930.38047733
37,1000,1000,0.05,3,random,hdf5,0.981508971761197,2176885.15522043
38,1000,1000,0.05,3,random,hdf5,0.990722498619181,2235063.35759687
39,1000,1000,0.05,3,random,hdf5,0.980533613672872,2150238.90314675
40,1000,1000,0.05,3,random,hdf5,0.996612748986586,2150593.9464849
41,1000,1000,0.05,3,random,hdf5,0.990765169750806,2129816.72079661
42,1000,1000,0.05,3,random,hdf5,0.990793823488286,2037704.36579367
43,1000,1000,0.05,3,random,hdf5,0.994156864512889,2295461.98936808
44,1000,1000,0.05,3,random,hdf5,0.99667772359373,2326329.49432819
45,1000,1000,0.05,3,random,hdf5,0.991541455604602,2077251.51282508
46,1000,1000,0.05,3,random,hdf5,0.983533539106351,2108591.44016115
47,1000,1000,0.05,3,random,hdf5,0.99025068772121,2267583.52199081
48,1000,1000,0.05,3,random,hdf5,0.986948317769401,2208007.97810945
49,1000,1000,0.05,3,random,hdf5,0.993611928172209,2052752.48440112
50,1000,1000,0.05,3,random,hdf5,0.990006759864728,2003199.67927355
51,1000,1000,0.05,3,random,hdf5,1,2174564.5030033
52,1000,1000,0.05,3,random,hdf5,0.996933499312891,2146999.74220882
53,1000,1000,0.05,3,random,hdf5,0.97669156455676,2128287.98586557
54,1000,1000,0.05,3,random,hdf5,0.978431939992768,2224289.83164769
55,1000,1000,0.05,3,random,hdf5,0.962044888125165,2108594.72920105
56,1000,1000,0.05,3,random,hdf5,0.980875868193807,2108025.43221742
57,1000,1000,0.05,3,random,hdf5,0.996587555070234,2171455.49893816
58,1000,1000,0.05,3,random,hdf5,0.993470192923825,2081497.42822048
59,1000,1000,0.05,3,random,hdf5,0.986678701369224,2036957.00491564
60,1000,1000,0.05,3,random,hdf5,0.996613074713703,2052600.07986705
61,1000,1000,0.05,3,random,hdf5,0.990243370415365,2069189.9595801
62,1000,1000,0.05,3,random,hdf5,0.987947333399232,2322248.20111577
63,1000,1000,0.05,3,random,hdf5,0.977903246188407,2234349.34826113
64,1000,1000,0.05,3,random,hdf5,0.994133110785524,2334814.44948287
65,1000,1000,0.05,3,random,hdf5,0.993185409641992,2048066.99244602
66,1000,1000,0.05,3,random,hdf5,0.996631993211822,2112262.00486459
67,1000,1000,0.05,3,random,hdf5,0.979302965853011,2054159.67958798
68,1000,1000,0.05,3,random,hdf5,0.990237086109876,2042773.96271566
69,1000,1000,0.05,3,random,hdf5,0.996921390316634,2151915.26729894
70,1000,1000,0.05,3,random,hdf5,0.977062396346331,2225856.04715081
71,1000,1000,0.05,3,random,hdf5,0.993669591893165,2158031.02102806
72,1000,1000,0.05,3,random,hdf5,0.990278870884228,2222115.12295261
73,1000,1000,0.05,3,random,hdf5,0.983896393834577,2179641.33528106
74,1000,1000,0.05,3,random,hdf5,0.980531810449188,2082862.36640142
75,1000,1000,0.05,3,random,hdf5,0.987362313390166,2265499.5755845
76,1000,1000,0.05,3,random,hdf5,0.973714715049913,2139741.49865557
77,1000,1000,0.05,3,random,hdf5,0.987879710966933,2082555.01960368
78,1000,1000,0.05,3,random,hdf5,0.989794175299667,2122668.67296398
79,1000,1000,0.05,3,random,hdf5,0.977617260546275,2412469.52638955
80,1000,1000,0.05,3,random,hdf5,0.981083855018718,2231450.57484581
1,1000,1000,0.1,3,random,hdf5,0.997027974604254,2077662.43711512
2,1000,1000,0.1,3,random,hdf5,0.986859710954345,2010518.00387283
3,1000,1000,0.1,3,random,hdf5,0.98334939963897,2066570.46706014
4,1000,1000,0.1,3,random,hdf5,0.993182603975969,2176288.80551555
5,1000,1000,0.1,3,random,hdf5,0.994034679101457,2029318.85060113
6,1000,1000,0.1,3,random,hdf5,0.98389384987723,1985207.93904135
7,1000,1000,0.1,3,random,hdf5,0.990290093632088,2160836.25707872
8,1000,1000,0.1,3,random,hdf5,0.993157731319865,2042388.58195846
9,1000,1000,0.1,3,random,hdf5,0.976200686282373,2022455.52538988
10,1000,1000,0.1,3,random,hdf5,0.986823583481137,2098947.17660193
11,1000,1000,0.1,3,random,hdf5,0.983902950330031,2014074.32168741
12,1000,1000,0.1,3,random,hdf5,0.991524787621478,2011299.84913201
13,1000,1000,0.1,3,random,hdf5,0.994630988938869,1934466.7746734
14,1000,1000,0.1,3,random,hdf5,0.984610466156518,2100836.75684761
15,1000,1000,0.1,3,random,hdf5,0.993625315097508,2187598.43145833
16,1000,1000,0.1,3,random,hdf5,0.97696293579862,1921005.73967294
17,1000,1000,0.1,3,random,hdf5,0.988649881890104,2136097.77048793
18,1000,1000,0.1,3,random,hdf5,0.986949172762027,2038331.97392279
19,1000,1000,0.1,3,random,hdf5,0.984707975081353,2081491.21920688
20,1000,1000,0.1,3,random,hdf5,0.993595987718763,2041102.85912838
21,1000,1000,0.1,3,random,hdf5,0.980506852435971,2028995.96549999
22,1000,1000,0.1,3,random,hdf5,0.99074083728351,2010359.25013885
23,1000,1000,0.1,3,random,hdf5,0.997015181445803,2067572.29223292
24,1000,1000,0.1,3,random,hdf5,0.986812881803804,2010374.8080084
25,1000,1000,0.1,3,random,hdf5,0.996988776013223,1970204.74753989
26,1000,1000,0.1,3,random,hdf5,0.990204406989556,1997840.7602821
27,1000,1000,0.1,3,random,hdf5,0.980448773371152,2028838.9453563
28,1000,1000,0.1,3,random,hdf5,0.986902257597238,2060556.77004329
29,1000,1000,0.1,3,random,hdf5,0.993063764853302,2064574.69914302
30,1000,1000,0.1,3,random,hdf5,0.997095324117297,2050464.26528974
31,1000,1000,0.1,3,random,hdf5,0.986838572236356,2012507.42766215
32,1000,1000,0.1,3,random,hdf5,0.990248872560711,2015603.27927141
33,1000,1000,0.1,3,random,hdf5,0.977624705504092,2004307.33427908
34,1000,1000,0.1,3,random,hdf5,0.987271415552413,2026423.99794475
35,1000,1000,0.1,3,random,hdf5,0.990632455713805,2089572.42811115
36,1000,1000,0.1,3,random,hdf5,0.99330848803812,2055907.21547315
37,1000,1000,0.1,3,random,hdf5,0.9902040556401,1930822.38543442
38,1000,1000,0.1,3,random,hdf5,0.993141488528181,2027753.38094033
39,1000,1000,0.1,3,random,hdf5,0.984293462120856,1885902.62293658
40,1000,1000,0.1,3,random,hdf5,0.986427266808083,2263781.67696692
41,1000,1000,0.1,3,random,hdf5,0.990328569640772,2082084.24125594
42,1000,1000,0.1,3,random,hdf5,0.993647651701014,2053096.69896645
43,1000,1000,0.1,3,random,hdf5,0.973590525078329,2090927.50078739
44,1000,1000,0.1,3,random,hdf5,0.994000262436168,1999105.91491956
45,1000,1000,0.1,3,random,hdf5,0.990285337451082,1925007.81436227
46,1000,1000,0.1,3,random,hdf5,0.987303419984508,2070709.02701672
47,1000,1000,0.1,3,random,hdf5,0.976830595342422,2094299.62496903
48,1000,1000,0.1,3,random,hdf5,0.983462886861953,2072449.41063463
49,1000,1000,0.1,3,random,hdf5,0.993653296149176,2000514.41972181
50,1000,1000,0.1,3,random,hdf5,0.981938110196228,2037513.16964383
51,1000,1000,0.1,3,random,hdf5,1,1997184.92179708
52,1000,1000,0.1,3,random,hdf5,0.980923784739445,2144832.76593949
53,1000,1000,0.1,3,random,hdf5,0.988033718425501,2127744.07919232
54,1000,1000,0.1,3,random,hdf5,0.990284994875155,2025636.35476005
55,1000,1000,0.1,3,random,hdf5,0.990983058745495,2052748.84734612
56,1000,1000,0.1,3,random,hdf5,0.98792914184277,2075259.46053401
57,1000,1000,0.1,3,random,hdf5,0.991843742568908,2037771.97396166
58,1000,1000,0.1,3,random,hdf5,0.99661812191217,2131700.18137859
59,1000,1000,0.1,3,random,hdf5,0.980549690933718,1971562.34759076
60,1000,1000,0.1,3,random,hdf5,0.993132743206225,1969310.89044682
61,1000,1000,0.1,3,random,hdf5,0.990202057368984,1943518.01831059
62,1000,1000,0.1,3,random,hdf5,0.98472982387252,2077070.6638202
63,1000,1000,0.1,3,random,hdf5,0.989870608701372,2070487.56676399
64,1000,1000,0.1,3,random,hdf5,0.982075377808218,2029541.51324188
65,1000,1000,0.1,3,random,hdf5,0.990238094276874,2052449.1181004
66,1000,1000,0.1,3,random,hdf5,0.99028442167095,1984124.75218232
67,1000,1000,0.1,3,random,hdf5,0.996543661933089,1983589.64359363
68,1000,1000,0.1,3,random,hdf5,0.990649130599513,2109449.54757401
69,1000,1000,0.1,3,random,hdf5,0.993138428372586,2105003.74598046
70,1000,1000,0.1,3,random,hdf5,0.997083111016467,2009307.35036694
71,1000,1000,0.1,3,random,hdf5,0.987256984949451,2022263.28707175
72,1000,1000,0.1,3,random,hdf5,0.990202626310935,1962656.27070122
73,1000,1000,0.1,3,random,hdf5,0.98732145208272,2084917.7101032
74,1000,1000,0.1,3,random,hdf5,0.990229239425975,2033256.49803366
75,1000,1000,0.1,3,random,hdf5,0.997073588103623,2051501.77710053
76,1000,1000,0.1,3,random,hdf5,0.994197453150464,2253963.79537457
77,1000,1000,0.1,3,random,hdf5,0.993638930678787,2113465.59242855
78,1000,1000,0.1,3,random,hdf5,0.983909971407186,2021247.70242753
79,1000,1000,0.1,3,random,hdf5,0.993653261159528,2085064.90011028
80,1000,1000,0.1,3,random,hdf5,0.990686192611029,2123344.37693118
1,1000,1000,0.2,3,random,hdf5,0.98977264699843,2036664.68420978
2,1000,1000,0.2,3,random,hdf5,0.988596050094489,2059828.0073342
3,1000,1000,0.2,3,random,hdf5,0.988663984524002,1921743.51314584
4,1000,1000,0.2,3,random,hdf5,1,2061389.62339436
5,1000,1000,0.2,3,random,hdf5,0.973920497709825,2090391.66607799
6,1000,1000,0.2,3,random,hdf5,0.993081840566686,2041455.98613135
7,1000,1000,0.2,3,random,hdf5,0.990224172461153,1999339.68049877
8,1000,1000,0.2,3,random,hdf5,0.984742110931736,2056988.70066374
9,1000,1000,0.2,3,random,hdf5,0.987297496130829,2111722.67742355
10,1000,1000,0.2,3,random,hdf5,0.983380921359668,2096428.13283883
11,1000,1000,0.2,3,random,hdf5,0.994285065336833,2076312.971114
12,1000,1000,0.2,3,random,hdf5,0.993589656362729,2010494.37021406
13,1000,1000,0.2,3,random,hdf5,0.987339979490441,2029248.64407029
14,1000,1000,0.2,3,random,hdf5,0.990251064605687,2028759.11120694
15,1000,1000,0.2,3,random,hdf5,1,2001575.5979978
16,1000,1000,0.2,3,random,hdf5,0.996998688137505,2022648.74156948
17,1000,1000,0.2,3,random,hdf5,0.990200495082506,2037184.25688392
18,1000,1000,0.2,3,random,hdf5,0.990282333450174,2113802.4443902
19,1000,1000,0.2,3,random,hdf5,0.993293278360476,2054071.23409709
20,1000,1000,0.2,3,random,hdf5,0.983454006560979,2153816.08599963
21,1000,1000,0.2,3,random,hdf5,0.977316949641171,2059263.54577013
22,1000,1000,0.2,3,random,hdf5,0.986381606799487,2124654.73895329
23,1000,1000,0.2,3,random,hdf5,0.990538783472212,2006953.18560739
24,1000,1000,0.2,3,random,hdf5,0.993180714381954,2020525.66506625
25,1000,1000,0.2,3,random,hdf5,0.990293487430247,2042713.65124289
26,1000,1000,0.2,3,random,hdf5,0.990243359956968,1996771.44088015
27,1000,1000,0.2,3,random,hdf5,0.977637650692719,2009645.14324404
28,1000,1000,0.2,3,random,hdf5,0.990228184047881,2021595.40670666
29,1000,1000,0.2,3,random,hdf5,0.994060385288553,1990818.19502615
30,1000,1000,0.2,3,random,hdf5,0.990728347057977,2017203.57591113
31,1000,1000,0.2,3,random,hdf5,0.985184798891707,2071493.10477885
32,1000,1000,0.2,3,random,hdf5,1,1927473.82794742
33,1000,1000,0.2,3,random,hdf5,0.990251863927346,1917712.35833781
34,1000,1000,0.2,3,random,hdf5,0.991088658023721,1946386.0055806
35,1000,1000,0.2,3,random,hdf5,0.990201369901059,1923287.69944283
36,1000,1000,0.2,3,random,hdf5,0.997065987435666,1953982.38833564
37,1000,1000,0.2,3,random,hdf5,0.990626660973306,2034131.7352622
38,1000,1000,0.2,3,random,hdf5,0.997090802158856,1995036.91193148
39,1000,1000,0.2,3,random,hdf5,0.991533472081647,2152838.43550799
40,1000,1000,0.2,3,random,hdf5,0.990239046534144,1915155.27465333
41,1000,1000,0.2,3,random,hdf5,0.990694343548127,2048876.18123012
42,1000,1000,0.2,3,random,hdf5,0.996570081406263,2026598.25205307
43,1000,1000,0.2,3,random,hdf5,0.981238504228554,1997559.9348194
44,1000,1000,0.2,3,random,hdf5,0.987215262363716,1969256.68106435
45,1000,1000,0.2,3,random,hdf5,0.977118349792208,2108765.70203678
46,1000,1000,0.2,3,random,hdf5,0.977140080702664,2119019.58217093
47,1000,1000,0.2,3,random,hdf5,0.996536253416345,1959774.09343412
48,1000,1000,0.2,3,random,hdf5,0.990188972081614,1951757.57013334
49,1000,1000,0.2,3,random,hdf5,0.990237372121749,1946976.52233099
50,1000,1000,0.2,3,random,hdf5,0.990282579112407,1944605.26190727
51,1000,1000,0.2,3,random,hdf5,0.993658286146563,2111539.10801999
52,1000,1000,0.2,3,random,hdf5,0.990775566977243,1997057.33908872
53,1000,1000,0.2,3,random,hdf5,0.983907506333903,2097391.09368882
54,1000,1000,0.2,3,random,hdf5,0.98774572332269,2068884.6839544
55,1000,1000,0.2,3,random,hdf5,0.990223314810968,2005576.39380246
56,1000,1000,0.2,3,random,hdf5,0.993647226920707,1978045.43076604
57,1000,1000,0.2,3,random,hdf5,0.993655902738457,2056474.63514647
58,1000,1000,0.2,3,random,hdf5,0.983923778917188,1953927.51342402
