B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
6,1.00E+05,1000,0.001,14,random,hdf5,0.753577093,232731151,17,NA
7,1.00E+05,1000,0.001,14,random,hdf5,0.739269655,230137165.2,25,NA
8,1.00E+05,1000,0.001,14,random,hdf5,0.801624741,221583815.7,21,NA
9,1.00E+05,1000,0.001,14,random,hdf5,0.838246729,209886525.4,15,NA
10,1.00E+05,1000,0.001,14,random,hdf5,0.776708095,237768883.7,16,NA
1,1.00E+05,1000,0.001,15,random,hdf5,0.808079665,219777102.4,25,NA
2,1.00E+05,1000,0.001,15,random,hdf5,0.788777657,217015381.5,16,NA
3,1.00E+05,1000,0.001,15,random,hdf5,0.8338434,206240734.2,26,NA
4,1.00E+05,1000,0.001,15,random,hdf5,0.770076583,218518552.3,23,NA
5,1.00E+05,1000,0.001,15,random,hdf5,0.792831799,200978900.5,41,NA
6,1.00E+05,1000,0.001,15,random,hdf5,0.820089558,221085655.2,33,NA
7,1.00E+05,1000,0.001,15,random,hdf5,0.804311048,213632929.3,31,NA
8,1.00E+05,1000,0.001,15,random,hdf5,0.757934119,236142571.3,24,NA
9,1.00E+05,1000,0.001,15,random,hdf5,0.698465409,244074495.3,17,NA
10,1.00E+05,1000,0.001,15,random,hdf5,0.733138932,230164426.6,17,NA
1,1.00E+05,1000,0.001,16,random,hdf5,0.803521941,207522444.8,17,NA
2,1.00E+05,1000,0.001,16,random,hdf5,0.828558526,201120066.5,47,NA
3,1.00E+05,1000,0.001,16,random,hdf5,0.784104258,216048168,21,NA
4,1.00E+05,1000,0.001,16,random,hdf5,0.773904401,213036185.7,15,NA
5,1.00E+05,1000,0.001,16,random,hdf5,0.819284227,213358506.2,29,NA
6,1.00E+05,1000,0.001,16,random,hdf5,0.79678498,214209162.2,29,NA
7,1.00E+05,1000,0.001,16,random,hdf5,0.75740186,216961158.4,19,NA
8,1.00E+05,1000,0.001,16,random,hdf5,0.827581955,210207647.6,55,NA
