"B","observations","genes","batch_size","k","initializer","method","memory"
1,1e+05,1000,75,5,kmeans++,kmeans,7246.379887231
1,1e+05,1000,75,6,kmeans++,kmeans,7246.46381057116
1,1e+05,1000,75,7,kmeans++,kmeans,7246.54773391131
1,1e+05,1000,75,8,kmeans++,kmeans,7242.72572767133
1,1e+05,1000,75,9,kmeans++,kmeans,7246.71844924399
1,1e+05,1000,75,10,kmeans++,kmeans,7246.80237258415
1,1e+05,1000,75,11,kmeans++,kmeans,7240.84753857734
1,1e+05,1000,75,13,kmeans++,kmeans,7240.95351849717
1,1e+05,1000,75,14,kmeans++,kmeans,7241.00692425909
1,1e+05,1000,75,15,kmeans++,kmeans,6474.13904722378
1,1e+05,1000,75,16,kmeans++,kmeans,7245.44900954194
1,1e+05,1000,75,17,kmeans++,kmeans,7247.39255202973
1,1e+05,1000,75,18,kmeans++,kmeans,7247.4777265906
1,1e+05,1000,75,19,kmeans++,kmeans,7247.56082595615
1,1e+05,1000,75,20,kmeans++,kmeans,7243.56866895868
1,1e+05,1000,500,2,kmeans++,kmeans,7246.12594283307
1,1e+05,1000,500,3,kmeans++,kmeans,7246.21057570692
1,1e+05,1000,500,4,kmeans++,kmeans,6473.89922483518
1,1e+05,1000,500,5,kmeans++,kmeans,7240.52462445258
1,1e+05,1000,500,6,kmeans++,kmeans,7246.46381057116
1,1e+05,1000,500,7,kmeans++,kmeans,7246.54767287616
1,1e+05,1000,500,8,kmeans++,kmeans,7240.68508587897
1,1e+05,1000,500,9,kmeans++,kmeans,7244.86099684441
1,1e+05,1000,500,10,kmeans++,kmeans,7246.80243361931
1,1e+05,1000,500,11,kmeans++,kmeans,7246.88635695947
1,1e+05,1000,500,12,kmeans++,kmeans,7240.90094433926
1,1e+05,1000,500,13,kmeans++,kmeans,7243.07078992849
1,1e+05,1000,500,14,kmeans++,kmeans,7241.00686322393
1,1e+05,1000,500,15,kmeans++,kmeans,7247.22205032011
1,1e+05,1000,500,16,kmeans++,kmeans,7241.11410199387
1,1e+05,1000,500,17,kmeans++,kmeans,7247.39255202973
1,1e+05,1000,500,18,kmeans++,kmeans,7247.47662795778
1,1e+05,1000,500,19,kmeans++,kmeans,7247.56082595615
1,1e+05,1000,500,20,kmeans++,kmeans,7241.33010541265
1,1e+05,1000,1000,2,kmeans++,kmeans,7246.12594283307
1,1e+05,1000,1000,3,kmeans++,kmeans,7246.21057570692
1,1e+05,1000,1000,4,kmeans++,kmeans,7246.2946058586
1,1e+05,1000,1000,5,kmeans++,kmeans,7246.379887231
1,1e+05,1000,1000,6,kmeans++,kmeans,7240.57809124966
1,1e+05,1000,1000,7,kmeans++,kmeans,7242.65681897966
1,1e+05,1000,1000,8,kmeans++,kmeans,6473.99117429841
1,1e+05,1000,1000,9,kmeans++,kmeans,7246.71851027915
1,1e+05,1000,1000,10,kmeans++,kmeans,7240.79330121141
1,1e+05,1000,1000,11,kmeans++,kmeans,7246.88629592431
1,1e+05,1000,1000,13,kmeans++,kmeans,6474.10628660354
1,1e+05,1000,1000,14,kmeans++,kmeans,6474.12917478722
1,1e+05,1000,1000,15,kmeans++,kmeans,7247.22205032011
1,1e+05,1000,1000,16,kmeans++,kmeans,7247.30658401183
1,1e+05,1000,1000,18,kmeans++,kmeans,7247.47662795778
1,1e+05,1000,1000,19,kmeans++,kmeans,7247.56076492099
1,1e+05,1000,1000,20,kmeans++,kmeans,5717.87300738662
